id	longitude	latitude	country
263	-61.38	66.65	Canada
264	-61.62	66.58	Canada
266	-107.82	69.04	Canada
267	-68.52	70.49	Canada
268	-63.58	64.96	Canada
269	-71.17	68.65	Canada
272	-97.8	68.67	Canada
275	-81.82	69.37	Canada
276	-103.53	78.78	Canada
277	-103.55	78.79	Canada
279	-69.92	62.83	Canada
280	-75.14	68.9	Canada
281	-84.62	72.98	Canada
282	-77.93	63.12	Canada
283	-77.93	63.12	Canada
285	-65.73	66.13	Canada
286	-65.7	66.13	Canada
287	-77.98	72.68	Canada
288	-77.98	72.68	Canada
289	-105.72	75.37	Canada
291	-94.99	74.72	Canada
294	-79.03	69.08	Canada
295	-93.58	69.55	Canada
296	-89.45	65.88	Canada
297	-69.88	62.85	Canada
298	-119.99	74.14	Canada
299	-117.81	70.76	Canada
300	-117.81	70.76	Canada
301	-118.5	72.77	Canada
302	-119.33	76.23	Canada
303	-119.32	76.23	Canada
304	-125.27	72	Canada
305	-125.27	72	Canada
306	-119.54	73.23	Canada
307	-119.35	76.24	Canada
308	-112.82	53.03	Canada
309	-111.45	52.07	Canada
310	-111.45	52.08	Canada
311	-113.58	53.32	Canada
312	-113.52	53.57	Canada
313	-113.85	53.67	Canada
314	-110.07	53.31	Canada
315	-114.92	52.38	Canada
316	-114.92	52.43	Canada
317	-114.91	52.42	Canada
318	-110.83	53.35	Canada
319	-115.12	53.15	Canada
320	-112.1	53.52	Canada
321	-110.2	51.67	Canada
322	-111.1	52.83	Canada
323	-112.67	51.43	Canada
324	-113.89	52.18	Canada
325	-114.68	51.77	Canada
326	-111.85	50.55	Canada
327	-114.02	51.11	Canada
328	-113.63	50	Canada
329	-114.08	49.63	Canada
330	-112.8	49.63	Canada
331	-110.72	50.02	Canada
332	-113.95	49.5	Canada
333	-114	49.52	Canada
334	-113.99	49.52	Canada
335	-111.18	50.27	Canada
336	-114.37	51.1	Canada
337	-112.05	49.13	Canada
338	-110.47	49.12	Canada
339	-115.55	51.19	Canada
340	-115.57	51.18	Canada
341	-118.07	52.88	Canada
342	-118.03	52.93	Canada
343	-114.45	54.09	Canada
344	-116.42	53.58	Canada
345	-116.48	53.59	Canada
346	-116.47	53.58	Canada
347	-111.38	58.2	Canada
348	-111.38	56.73	Canada
349	-111.22	56.65	Canada
350	-111.97	54.77	Canada
351	-112.02	54.77	Canada
352	-114.78	55.28	Canada
353	-114.78	55.3	Canada
354	-114.98	55.35	Canada
355	-115.67	54.13	Canada
356	-115.79	54.14	Canada
357	-110.06	54.79	Canada
358	-110.44	58.98	Canada
359	-118.38	56.07	Canada
360	-111.15	58.72	Canada
361	-111.12	58.77	Canada
362	-118.88	55.18	Canada
363	-117.1	58.52	Canada
364	-117.17	58.62	Canada
365	-117.87	57.8	Canada
366	-117.45	56.23	Canada
367	-115.28	56.55	Canada
368	-119.23	55.7	Canada
369	-110.28	54.42	Canada
370	-102.57	50.37	Canada
371	-102.53	50.25	Canada
372	-102.97	49.22	Canada
373	-105.25	51.42	Canada
374	-105.55	50.33	Canada
375	-105.56	50.33	Canada
376	-104.67	50.43	Canada
377	-105.4	51.67	Canada
378	-104.2	51.77	Canada
379	-102.47	51.27	Canada
380	-104.2	51.77	Canada
381	-103.8	49.7	Canada
382	-105.93	49.73	Canada
383	-106.58	51.13	Canada
384	-106.58	51.13	Canada
385	-107.15	50.95	Canada
386	-109.47	49.9	Canada
387	-107.68	50.3	Canada
388	-109.5	50.9	Canada
389	-109.52	49.65	Canada
390	-108.98	49.43	Canada
391	-105.98	49.17	Canada
392	-107.58	49.07	Canada
393	-109.18	51.52	Canada
394	-109.17	51.47	Canada
395	-108.26	52.77	Canada
396	-107.92	51.57	Canada
397	-104.6	52.82	Canada
398	-105.67	53.22	Canada
399	-106.72	52.17	Canada
400	-108.47	55.85	Canada
401	-108.43	55.83	Canada
402	-109.52	58.39	Canada
403	-103.7	58.18	Canada
404	-103.7	58.18	Canada
405	-107.13	57.35	Canada
406	-109.97	54.9	Canada
407	-105.6	57.25	Canada
408	-105.27	55.15	Canada
409	-108.43	54.13	Canada
410	-108.52	54.13	Canada
411	-103.28	56.33	Canada
412	-107.55	53.37	Canada
413	-105.83	59.25	Canada
414	-108.48	59.57	Canada
415	-106.07	53.92	Canada
416	-108.48	59.57	Canada
417	-104	53.33	Canada
418	-102.4	52.87	Canada
419	-102.32	52.82	Canada
420	-99.95	49.92	Canada
421	-98.27	49.9	Canada
422	-98.27	49.9	Canada
423	-100.32	50.02	Canada
424	-100.6	50.45	Canada
425	-99.64	49.78	Canada
426	-99.93	50.65	Canada
427	-100.98	49.28	Canada
428	-97.24	49	Canada
429	-97.56	49.03	Canada
430	-98.9	49.2	Canada
431	-97.03	50.05	Canada
432	-95.6	49.02	Canada
433	-97.23	49.92	Canada
434	-97.02	52.36	Canada
435	-97.03	52.35	Canada
436	-95.7	51.03	Canada
437	-97.62	52.82	Canada
438	-97.55	51.08	Canada
439	-97.02	50.63	Canada
440	-97.05	50.63	Canada
441	-97.05	50.63	Canada
442	-99.27	53.18	Canada
443	-96.63	51.17	Canada
444	-99.27	53.18	Canada
445	-96.06	50.18	Canada
446	-100.05	51.1	Canada
447	-98.03	50.63	Canada
448	-101.23	52.12	Canada
449	-101.68	54.68	Canada
450	-101.68	54.68	Canada
451	-100.94	53.03	Canada
452	-101.1	53.97	Canada
453	-94.2	56.5	Canada
454	-101.68	57.88	Canada
457	-94.06	58.74	Canada
458	-94.7	56.35	Canada
459	-94.71	56.36	Canada
460	-94.65	53.85	Canada
461	-101.08	56.86	Canada
462	-98.5	58.72	Canada
463	-97.87	55.8	Canada
464	-98.63	54.92	Canada
465	-97.85	53.95	Canada
466	-89.87	53.83	Canada
467	-89.9	53.82	Canada
468	-93.22	50.63	Canada
469	-87.88	52.23	Canada
470	-87.94	52.2	Canada
471	-85.43	54.98	Canada
472	-90.22	51.45	Canada
473	-93.79	51.07	Canada
474	-85.12	55.23	Canada
475	-91.62	48.75	Canada
476	-91.63	48.76	Canada
477	-92.75	49.83	Canada
478	-94.37	49.79	Canada
479	-94.76	49.47	Canada
480	-91.9	50.12	Canada
481	-88.9	50.29	Canada
482	-89.03	50.3	Canada
483	-88.35	49.15	Canada
484	-85.83	47.33	Canada
485	-86.95	49.7	Canada
486	-86.93	49.78	Canada
487	-90.58	49.27	Canada
488	-86.7	50.18	Canada
489	-86.3	48.59	Canada
490	-87.1	48.82	Canada
491	-89.33	48.37	Canada
492	-90.47	49.03	Canada
493	-89.12	48.37	Canada
494	-88.33	49.71	Canada
495	-82.56	46.35	Canada
496	-84.51	46.48	Canada
497	-84.78	47.97	Canada
498	-85.28	48.6	Canada
499	-81.48	45.97	Canada
500	-83.43	47.83	Canada
501	-83.35	47.82	Canada
502	-80.8	46.62	Canada
503	-79.85	47.7	Canada
504	-82.47	49.41	Canada
505	-80.5	51.23	Canada
508	-84.16	49.75	Canada
509	-81.38	48.57	Canada
510	-79.42	46.36	Canada
511	-82.57	45.88	Canada
