id	longitude	latitude	country_sea
4	11.83	-70.77	Antarctica
8	77.97	-68.58	Antarctica
13	140	-66.67	Antarctica
254	-62.28	82.52	Canada
255	-62.28	82.52	Canada
256	-85.15	73.03	Canada
273	-82.9	76.42	Canada
284	-75.28	68.93	Canada
290	-86.23	66.52	Canada
564	-72.52	46.35	Canada
590	-59.64	50.47	Canada
597	-64.23	50.27	Canada
611	-65.33	48.01	Canada
613	-64.35	49.82	Canada
754	-53.58	49.11	Canada
788	-177.37	28.22	United States
799	-135.33	57.05	United States
936	178.43	-18.13	Fiji
937	178.43	-18.13	Fiji
989	18.08	69.35	Norway
990	18.08	69.35	Norway
1003	18.92	69.33	Norway
1005	16.37	78.65	Svalbard
1008	18.93	69.65	Norway
1009	18.93	69.65	Norway
1062	23.67	70.67	Norway
1066	23.68	70.67	Norway
1079	25.07	76.5	Svalbard
1080	25.07	76.5	Svalbard
1082	25.06	76.5	Svalbard
1114	29.85	70.07	Norway
1159	12.22	65.47	Norway
1160	12.22	65.47	Norway
1163	12.22	65.47	Norway
1164	12.22	65.45	Norway
1230	14.67	68.25	Norway
1397	11.45	64.02	Norway
1409	11.13	64.83	Norway
1414	11.58	64.47	Norway
1415	11.57	64.47	Norway
1631	5.55	58.65	Norway
1753	10.62	59.88	Norway
1883	11.78	57.7	Sweden
2198	21.57	64.47	Sweden
2200	21.57	64.47	Sweden
2208	21.57	64.47	Sweden
2277	17.53	62.37	Sweden
2278	17.53	62.37	Sweden
2284	17.17	61.45	Sweden
2720	23.12	63.85	Finland
2747	24.79	65.02	Finland
2867	21.7	60.12	Finland
2974	-1.27	60.45	United Kingdom
2975	-1.27	60.45	United Kingdom
2976	-1.27	60.45	United Kingdom
3009	-7.32	57.15	United Kingdom
3010	-7.31	57.15	United Kingdom
3020	-6.33	58.22	United Kingdom
3021	-6.32	58.22	United Kingdom
3022	-6.32	58.22	United Kingdom
3025	-6.77	57.43	United Kingdom
3027	-6.77	57.43	United Kingdom
3038	-5.7	57.58	United Kingdom
3039	-5.7	57.58	United Kingdom
3075	-3.38	58.87	United Kingdom
3077	-3.38	58.87	United Kingdom
3083	-4.17	57.67	United Kingdom
3131	-2.27	56.84	United Kingdom
3173	-5.13	54.85	United Kingdom
3179	-4.82	55.65	United Kingdom
3504	-4.07	52.55	United Kingdom
3505	-4.07	52.55	United Kingdom
3798	0.85	51.55	United Kingdom
3975	-4.12	50.35	United Kingdom
3977	-4.12	50.34	United Kingdom
3978	-4.12	50.35	United Kingdom
4017	-1.3	50.82	United Kingdom
4020	-1.28	50.58	United Kingdom
4026	-1.3	50.82	United Kingdom
4033	-1.22	50.8	United Kingdom
4034	-1.21	50.8	United Kingdom
4035	-1.22	50.8	United Kingdom
4066	-2.6	49.43	Guernsey
4067	-2.6	49.43	Guernsey
4093	-7.02	55.07	United Kingdom
4095	-7.02	55.07	United Kingdom
4132	-5.8	54.85	United Kingdom
4162	-9.9	53.32	Ireland
4190	-8.23	54.5	Ireland
4237	-21.93	64.13	Iceland
4238	-21.93	64.13	Iceland
4240	-21.93	64.13	Iceland
