id	longitude	latitude	country_sea
4276	-18.08	65.65	Iceland
4320	-14.23	65.03	Iceland
4417	-51.22	68.83	Greenland
4438	-53.7	66.93	Greenland
4440	-53.7	66.93	Greenland
4451	-53.72	66.95	Greenland
4468	-51.72	64.17	Greenland
4473	-51.55	63.7	Greenland
4503	-46.05	60.72	Greenland
4504	-46.05	60.72	Greenland
4506	-46.05	60.72	Greenland
4508	-46.05	60.72	Greenland
4513	-46.05	60.92	Greenland
4592	-42.13	62.53	Greenland
4593	-42.13	62.53	Greenland
4594	-42.25	62.42	Greenland
4630	-6.75	62.05	Faroe Is.
4650	9.95	57.58	Denmark
4709	10.52	56.1	Denmark
4711	10.52	56.1	Denmark
4742	8.57	55.17	Denmark
4785	10.57	55.02	Denmark
4786	10.57	55.01	Denmark
4787	10.57	55.02	Denmark
4809	11.97	54.57	Denmark
4811	11.77	55.08	Denmark
4812	11.78	55.08	Denmark
4844	12.35	56.12	Denmark
4846	12.35	56.12	Denmark
4915	4.72	53	Netherlands
5013	4.01	51.43	Netherlands
5846	-2.75	47.63	France
6252	5.92	43.1	France
6253	5.93	43.1	France
6254	5.93	43.1	France
6255	5.93	43.1	France
6256	5.93	43.09	France
6258	5.93	43.1	France
6280	6.95	43.53	France
6332	9.18	41.37	France
6333	9.18	41.37	France
6348	-16.77	32.7	Portugal
6349	-8.37	43.38	Spain
6382	-3.83	43.43	Spain
6383	-3.82	43.43	Spain
6384	-3.82	43.43	Spain
6386	-3.82	43.43	Spain
6392	-3.81	43.46	Spain
6717	2.62	39.55	Spain
6824	-1	37.58	Spain
6825	-1	37.58	Spain
6862	-4.47	36.65	Spain
6863	-4.47	36.65	Spain
6882	-31.13	39.45	Portugal
6883	-31.13	39.45	Portugal
6884	-31.13	39.44	Portugal
6891	-28.63	38.53	Portugal
6910	-25.72	37.75	Portugal
6911	-25.72	37.75	Portugal
6962	-8.83	41.68	Portugal
7228	10.2	54.45	Germany
7235	10.18	54.38	Germany
7238	11.07	54.53	Germany
7239	11.07	54.53	Germany
7321	12.1	54.18	Germany
9102	15.35	54.15	Poland
9751	14.9	45	Croatia
9823	16.45	43.17	Croatia
9824	16.45	43.17	Croatia
10129	14.7	45.17	Croatia
10135	14.9	45	Croatia
10168	16.45	43.17	Croatia
11053	27.92	43.2	Bulgaria
11054	27.92	43.2	Bulgaria
11055	27.92	43.19	Bulgaria
11056	27.92	43.2	Bulgaria
11057	27.95	43.2	Bulgaria
11366	8.03	43.88	Italy
11507	13.12	41.25	Italy
11760	9.05	39.25	Italy
11761	9.05	39.25	Italy
11762	9.05	39.25	Italy
11764	9.05	39.25	Italy
11765	9.04	39.25	Italy
11810	25.92	40.85	Greece
11818	19.92	39.6	Greece
11862	26.59	39.07	Greece
11863	26.6	39.06	Greece
11869	26.59	39.07	Greece
11893	20.5	38.12	Greece
11894	20.5	38.11	Greece
11943	26.92	37.68	Greece
11944	22.1	37.03	Greece
11951	25.38	37.1	Greece
11957	21.7	36.83	Greece
11958	21.7	36.83	Greece
11962	24.42	36.72	Greece
11964	24.45	36.72	Greece
11965	24.45	36.72	Greece
11966	24.45	36.71	Greece
11986	24.12	35.48	Greece
11988	24.12	35.48	Greece
12013	26.13	35.2	Greece
12082	28.81	40.96	Turkey
12083	28.81	40.96	Turkey
12089	29.07	40.96	Turkey
12170	26.4	40.13	Turkey
12171	26.4	40.13	Turkey
12172	26.4	40.13	Turkey
12187	29.28	40.67	Turkey
12418	28.27	36.85	Turkey
12420	30.7	36.88	Turkey
12424	30.7	36.88	Turkey
12425	30.7	36.88	Turkey
12493	32.48	34.71	Cyprus
12521	57.95	80.62	Russia
12528	58	80.12	Russia
12532	79.7	80.83	Russia
12533	79.69	80.82	Russia
12569	82.23	77.5	Russia
12571	82.22	77.5	Russia
12572	82.23	77.5	Russia
12607	83.25	75.92	Russia
12608	83.25	75.92	Russia
12609	83.25	75.92	Russia
12754	139.77	73.4	Russia
12755	139.77	73.38	Russia
12785	129.08	71.93	Russia
12828	136.58	71.5	Russia
12829	136.58	71.5	Russia
12903	33.5	69.18	Russia
13041	48.77	67.7	Russia
13043	48.77	67.7	Russia
13066	36.92	66.28	Russia
13127	35.71	65.02	Russia
13129	35.7	65.03	Russia
13130	35.69	65.03	Russia
13518	61.68	69.77	Russia
13575	57.97	68.8	Russia
13664	70.2	66.7	Russia
13667	72.38	66.5	Russia
14547	170.26	69.7	Russia
14548	170.25	69.7	Russia
14549	170.25	69.7	Russia
14563	175.77	69.88	Russia
14564	175.77	69.88	Russia
14623	-175.05	67.42	Russia
14708	177.56	64.77	Russia
14844	154.7	60.2	Russia
14845	154.27	59.65	Russia
14851	163.63	60.87	Russia
14853	163.62	60.87	Russia
14863	169.58	60.45	Russia
14866	170.73	60.43	Russia
14867	171.08	60.55	Russia
14873	24.04	59.34	Estonia
14961	22.08	58.92	Estonia
15041	21.9	58.25	Estonia
17854	140.5	57.85	Russia
18213	140.3	49	Russia
18346	131.92	43.12	Russia
18423	143.2	52.4	Russia
18426	141.9	51.6	Russia
18478	142.08	45.9	Russia
18517	155.48	50.83	Russia
18599	162.13	54.82	Russia
18643	156.48	51.48	Russia
18644	156.48	51.48	Russia
18645	156.48	51.48	Russia
18647	156.48	51.48	Russia
18648	156.48	51.48	Russia
19166	33.45	46.05	Ukraine
19167	33.44	46.05	Ukraine
19224	34.17	44.48	Ukraine
19907	51.25	46.87	Kazakhstan
19908	51.78	46.77	Kazakhstan
19909	50.2	46.75	Kazakhstan
19910	50.2	46.75	Kazakhstan
20486	47.48	44.47	Russia
20514	40.27	43.25	Georgia
20551	40.97	42.98	Georgia
20665	47.5	43	Russia
20667	47.5	43	Russia
20668	47.5	43	Russia
20669	47.88	42.57	Russia
20897	50.03	40.97	Azerbaijan
20965	50.82	40.23	Azerbaijan
20968	50.03	40.25	Azerbaijan
20972	50.69	40.44	Azerbaijan
20979	50.55	40.33	Azerbaijan
20981	50.32	40.47	Azerbaijan
21021	49.48	39.98	Azerbaijan
21026	49.58	39.77	Azerbaijan
21027	49.6	39.75	Azerbaijan
21047	49.52	39.38	Azerbaijan
21049	49.52	39.38	Azerbaijan
21073	48.88	38.45	Azerbaijan
21075	48.88	38.44	Iran
21076	48.88	38.45	Azerbaijan
21085	50.65	44.22	Kazakhstan
21133	51.08	43.58	Kazakhstan
21134	51.07	43.57	Kazakhstan
21135	51.08	43.58	Kazakhstan
21138	51.67	43.15	Kazakhstan
21268	52.65	41.28	Turkmenistan
21270	52.98	41.02	Turkmenistan
21271	52.98	41.01	Turkmenistan
21454	53.18	39.25	Turkmenistan
21456	53.08	38.92	Turkmenistan
21458	53.1	39.1	Turkmenistan
21548	53.67	37.47	Turkmenistan
21816	35.75	35.55	Syria
21817	35.78	35.5	Syria
21818	35.78	35.5	Syria
21819	35.77	35.53	Syria
21820	35.76	35.53	Syria
22130	50.62	26.27	Bahrain
22131	50.63	26.27	Bahrain
22135	51.55	24.9	Qatar
22277	49.4	14.65	Yemen
22282	42.62	15.33	Yemen
22292	45.03	12.83	Yemen
22503	52.65	36.72	Iran
22517	52.65	36.72	Iran
22673	49.2	30.5	Iran
22674	49.2	30.5	Iran
22770	60.62	25.28	Iran
22954	50.65	26.27	Bahrain
22955	50.62	26.27	Bahrain
22956	50.65	26.26	Bahrain
22961	51.1	26.08	Qatar
22980	51.55	24.9	Qatar
22989	55.32	25.25	United Arab Emirates
22993	45.03	12.83	Yemen
23013	56.23	26.22	Oman
23174	49.36	14.64	Yemen
23219	45.03	12.82	Yemen
23220	45.03	12.83	Yemen
23223	45.03	12.83	Yemen
23226	45.03	12.83	Yemen
23229	45.03	12.83	Yemen
23603	91.83	22.25	Bangladesh
23612	91.42	22.48	Bangladesh
23613	91.1	22.45	Bangladesh
23631	91.1	22.43	Bangladesh
23632	91.43	22.48	Bangladesh
24355	72.87	18.63	India
24424	83.3	17.68	India
24501	74.13	14.77	India
24571	80.2	12.62	India
24613	92.72	11.67	India
24614	92.72	11.67	India
24615	92.72	11.67	India
24616	92.72	11.66	India
24695	80.02	9.65	Sri Lanka
24715	81.67	7.7	Sri Lanka
25094	113.85	22.25	China
25099	113.55	22.2	China
25101	113.55	22.2	China
25154	118.37	24.43	China
25155	118.37	24.43	China
25308	125.37	38.72	North Korea
25309	125.36	38.71	North Korea
25416	126.55	36.19	South Korea
25417	126.55	36.2	South Korea
25594	128.7	35.13	South Korea
25595	128.7	35.13	South Korea
25646	126.16	33.29	South Korea
25652	126.57	33.23	South Korea
25653	126.57	33.23	South Korea
25654	126.56	33.23	South Korea
25853	141.14	41.23	Japan
26178	138.85	34.6	Japan
26179	138.85	34.6	Japan
26333	135.32	35.45	Japan
26335	135.32	35.45	Japan
26336	135.32	35.45	Japan
26375	132.23	34.13	Japan
26390	132.55	34.23	Japan
26391	132.55	34.23	Japan
26392	132.54	34.23	Japan
26393	132.55	34.23	Japan
26503	129.72	33.15	Japan
26578	131.42	31.57	Japan
26579	131.42	31.57	Japan
26580	131.42	31.56	Japan
26582	131.41	31.58	Japan
26591	130.98	30.73	Japan
26592	130.98	30.73	Japan
26672	132.54	33.23	Japan
26711	123.75	24.38	Japan
26713	124.17	24.33	Japan
26714	124.17	24.33	Japan
26715	124.17	24.33	Japan
26717	124.17	24.33	Japan
26896	96.18	16.77	Myanmar
27317	101.35	12.63	Thailand
27318	101.35	12.63	Thailand
27335	99.82	11.83	Thailand
27336	99.82	11.82	Thailand
27337	102.88	11.78	Thailand
27338	102.88	11.78	Thailand
27339	102.88	11.78	Thailand
27389	98.4	7.97	Thailand
29212	118.33	38.13	China
31043	119.2	25.27	China
31133	118.07	24.45	China
31135	118.07	24.45	China
31136	118.08	24.48	China
31137	118.07	24.48	China
31138	118.08	24.48	China
31339	112.75	21.68	China
31359	108.63	19.13	China
31416	-17.75	28.61	Spain
31433	-16.25	28.45	Spain
31436	-16.25	28.45	Spain
31457	-13.58	28.95	Spain
31470	-15.93	23.72	Western Sahara
31472	-15.93	23.72	Western Sahara
31475	-15.93	23.72	Western Sahara
31666	2.18	36.6	Algeria
32399	-12.5	7.53	Sierra Leone
32401	-12.5	7.53	Sierra Leone
32436	72.48	-7.35	British Indian Ocean Territory
32438	72.48	-7.35	British Indian Ocean Territory
32479	55.48	-21.33	Reunion
32480	55.48	-21.33	Reunion
32658	29.87	31.18	Egypt
32671	32.23	31.28	Egypt
32673	32.23	31.28	Egypt
32674	32.23	31.28	Egypt
32675	32.23	31.28	Egypt
33056	45.35	2.03	Somalia
33325	39.62	-4.03	Kenya
33327	39.62	-4.03	Kenya
33337	39.72	-5.07	Tanzania
33374	55.52	-4.67	Seychelles
33378	55.52	-4.67	Seychelles
33380	55.53	-4.68	Seychelles
33451	12.42	-6	Congo, DRC
33618	8.75	-0.72	Gabon
34205	-10.77	6.28	Liberia
34353	49.82	-17.08	Madagascar
34354	49.82	-17.08	Madagascar
34407	40.37	-11.35	Mozambique
34408	40.37	-11.35	Mozambique
34459	36.88	-17.88	Mozambique
34460	36.88	-17.88	Mozambique
35616	29.55	-31.63	South Africa
35618	29.55	-31.63	South Africa
35619	29.55	-31.63	South Africa
35622	17.85	-32.83	South Africa
35625	17.85	-32.83	South Africa
35627	17.85	-32.83	South Africa
35628	17.85	-32.83	South Africa
35695	28.92	-32.23	South Africa
35696	18.12	-33.2	South Africa
35790	19.22	-34.42	South Africa
35828	37.87	-46.88	South Africa
35830	37.87	-46.88	South Africa
35832	37.87	-46.88	South Africa
35834	37.87	-46.88	South Africa
35909	-86.68	30.42	United States
35910	-86.67	30.42	United States
36055	-86.67	30.42	United States
36056	-86.67	30.42	United States
36057	-86.67	30.42	United States
36083	-86.68	30.42	United States
36084	-86.67	30.42	United States
36085	-86.67	30.42	United States
36480	-165.44	64.51	United States
36481	-165.44	64.51	United States
36540	-166.15	61.53	United States
36659	-135.45	58.11	United States
36661	-135.45	58.1	United States
36662	-135.45	58.1	United States
36664	-135.45	58.08	United States
36817	134.48	7.33	Palau
36901	-170.22	57.15	United States
36904	-170.22	57.15	United States
36922	-158.55	58.99	United States
36979	-152.49	57.75	United States
36981	-152.49	57.75	United States
36984	-154.13	56.53	United States
37028	-135.52	59.23	United States
37049	-135.33	57.05	United States
37050	-135.33	57.05	United States
37051	-135.33	57.05	United States
37071	-134.9	58.25	United States
37072	-134.9	58.25	United States
37073	-136.35	58.2	United States
37076	-136.35	58.2	United States
37077	-136.35	58.2	United States
37096	-132.95	56.82	United States
37097	-132.97	56.82	United States
37098	-132.97	56.82	United States
37101	-132.97	56.82	United States
37152	-131.57	55.13	United States
37317	-89.43	65.87	Canada
37327	-125.28	71.98	Canada
37495	-62.28	82.52	Canada
37498	-62.28	82.52	Canada
37499	-62.28	82.52	Canada
37520	-68.55	70.45	Canada
37528	-68.55	70.45	Canada
37539	-75.28	68.93	Canada
37547	-66.78	68.43	Canada
37548	-66.78	68.43	Canada
37549	-66.78	68.43	Canada
37575	-86.23	66.52	Canada
37577	-86.22	66.52	Canada
37578	-86.22	66.52	Canada
37587	-64.05	67.55	Canada
37913	-70.12	48.27	Canada
37937	-53.58	49.12	Canada
37943	-59.18	47.57	Canada
37954	-123.43	48.43	Canada
38211	-73.93	45.43	Canada
38224	-70.8	47.07	Canada
38293	-60.23	45.71	Canada
38564	-64.23	50.27	Canada
38632	-93.57	69.53	Canada
38638	-128.15	52.18	Canada
38639	-128.15	52.18	Canada
38721	-65.32	48.01	Canada
38744	-73.93	45.42	Canada
38752	-73.75	45.46	Canada
38959	-72.52	46.35	Canada
38960	-72.52	46.34	Canada
39085	-128.15	52.18	Canada
39137	-123.43	48.43	Canada
39201	-64.35	49.82	Canada
39217	-66.27	50.21	Canada
39235	-59.63	50.47	Canada
39236	-59.63	50.47	Canada
39237	-59.63	50.47	Canada
39781	-70	60.01	Canada
39796	-68.42	58.08	Canada
39801	-68.42	58.08	Canada
39894	-93.57	69.53	Canada
39895	-93.57	69.53	Canada
39921	-85.15	73.03	Canada
39943	-81.02	76.2	Canada
39953	-108.02	66.85	Canada
39968	-82.95	76.42	Canada
39969	-82.92	76.42	Canada
39970	-82.9	76.42	Canada
39972	-82.9	76.42	Canada
39978	-105.11	69.1	Canada
40021	-53.57	49.1	Canada
40148	-124.02	69.35	Canada
40199	-129.98	55.93	Canada
40311	-82.9	76.42	Canada
40581	-97.09	27.81	United States
40605	-80.58	24.95	United States
40712	-80.92	29.07	United States
40838	-82.62	27.77	United States
40841	-82.62	27.77	United States
40980	-76.48	38.98	United States
41321	-90.07	29.19	United States
41322	-90.07	29.18	United States
41508	-93.87	29.73	United States
42419	-117.22	32.72	United States
43703	-75.87	37.98	United States
43846	-74.02	40.1	United States
44995	-122.22	37.75	United States
44996	-122.22	37.75	United States
44997	-122.22	37.75	United States
45241	-69.98	41.68	United States
45245	-70	41.67	United States
45264	-71.93	41.07	United States
46150	-76.43	38.15	United States
46152	-76.43	38.15	United States
46801	-70.18	42.05	United States
46941	-68.45	44.47	United States
46942	-68.27	44.28	United States
46943	-68.27	44.28	United States
47866	-124.33	43.35	United States
47867	-124.17	43.68	United States
48566	-123.88	46.17	United States
48673	-123.12	48.17	United States
48674	-123.1	48.17	United States
48696	-64.35	49.82	Canada
48902	-85.15	73.03	Canada
48904	-85.15	73.03	Canada
48986	-129.98	55.93	Canada
49017	-123.1	48.17	United States
49018	-123.1	48.17	United States
49019	-123.1	48.17	United States
49020	-123.1	48.17	United States
49021	-123.1	48.17	United States
49022	-123.1	48.17	United States
49023	-123.1	48.17	United States
49049	-125.28	71.98	Canada
49051	-125.28	71.98	Canada
49095	-62.28	82.52	Canada
49099	-68.55	70.45	Canada
49100	-68.55	70.45	Canada
49102	-75.28	68.93	Canada
49107	-66.78	68.43	Canada
49109	-66.78	68.43	Canada
49114	-64.05	67.55	Canada
49207	-123.42	48.13	United States
49208	-123.4	48.13	United States
49209	-123.4	48.13	United States
49211	-123	48.5	United States
49218	-122.53	47.92	United States
49394	-69.97	41.67	United States
49681	-88.92	30.42	United States
49682	-88.92	30.42	United States
49684	-88.92	30.42	United States
49685	-88.92	30.42	United States
49709	-86.68	30.42	United States
49711	-86.68	30.42	United States
49713	-86.68	30.42	United States
49715	-86.68	30.42	United States
49789	-80.68	28.58	United States
49800	-80.62	28.25	United States
49936	-51.18	63.43	Greenland
50067	125.72	11.03	Philippines
50132	132.08	-0.5	Indonesia
50272	-118.32	29.17	Mexico
50273	-118.32	29.17	Mexico
50442	-110.42	24.17	Mexico
50543	-106.53	21.67	Mexico
50785	-110.95	18.72	Mexico
50786	-110.95	18.72	Mexico
50787	-110.95	18.72	Mexico
50825	-91.8	18.65	Mexico
50829	-91.8	18.65	Mexico
50830	-91.8	18.65	Mexico
50835	-88.3	18.48	Belize
50842	-88.3	18.48	Belize
50846	-101.47	17.59	Mexico
50874	-99.77	16.75	Mexico
50876	-99.77	16.75	Mexico
50883	-99.77	16.75	Mexico
50933	-96.5	15.65	Mexico
50999	-75.42	24.28	The Bahamas
51001	-75.42	24.27	The Bahamas
51033	-73.68	20.93	The Bahamas
51034	-73.68	20.95	The Bahamas
51035	-73.68	20.95	The Bahamas
51068	-75.62	21.07	Cuba
51077	-84.95	21.87	Cuba
51133	-81.05	22.07	Cuba
51221	-75.62	21.07	Cuba
51222	-75.62	21.07	Cuba
51259	-81.35	19.27	Cayman Is.
51306	-68.33	18.62	Dominican Republic
51322	-69.88	18.47	Dominican Republic
51324	-69.88	18.47	Dominican Republic
51325	-69.88	18.47	Dominican Republic
51343	-66	18.45	Puerto Rico
51346	-66	18.45	Puerto Rico
51383	-88.6	15.72	Guatemala
51385	-88.6	15.72	Guatemala
51479	-83.36	14.04	Nicaragua
51520	-84.85	9.98	Costa Rica
51547	-79.9	9.37	Panama
51587	-62.68	17.3	St. Kitts & Nevis
51588	-62.67	17.29	St. Kitts & Nevis
51664	-61.6	12.15	Grenada
51858	-77.9	2.58	Colombia
51907	-71.6	10.65	Venezuela
52150	-48.55	-0.72	Brazil
52151	-47.35	-0.62	Brazil
52152	-47.38	-0.62	Brazil
52153	-47.38	-0.61	Brazil
52154	-47.38	-0.61	Brazil
52359	-35.48	-5.17	Brazil
52453	-34.88	-7.1	Brazil
52502	-34.88	-8.07	Brazil
52504	-34.92	-8.04	Brazil
53410	-79.65	0.98	Ecuador
53461	-80.42	-0.58	Ecuador
53735	-76.23	-13.75	Peru
54255	-73.78	-41.88	Chile
54256	-73.8	-41.87	Chile
54263	-73.8	-42.48	Chile
54273	-73.63	-43.12	Chile
54275	-73.63	-43.12	Chile
54288	-74.83	-43.57	Chile
54291	-74.83	-43.57	Chile
54292	-74.83	-43.57	Chile
54372	-70.88	-53.1	Chile
54376	-67.47	-54.92	Chile
54396	-58.93	-62.2	Antarctica
54398	-58.93	-62.25	Antarctica
54399	-59.67	-62.48	Antarctica
54406	-62.85	-64.8	Antarctica
55297	-56.68	-36.55	Argentina
55314	-57.53	-38.02	Argentina
55538	-68.3	-54.8	Argentina
55543	-68.31	-54.8	Argentina
55546	-68.31	-54.8	Argentina
55547	-68.31	-54.8	Argentina
55548	-68.31	-54.8	Argentina
55549	-68.31	-54.8	Argentina
55550	-68.31	-54.8	Argentina
55555	-59.6	-51.32	Falkland Islands
55557	-59.59	-51.32	Falkland Islands
55570	-57.85	-51.68	Falkland Islands
55573	-57.77	-51.68	Falkland Islands
55574	-57.87	-51.68	Falkland Islands
55582	-36.48	-54.27	South Georgia & the South Sandwich Is.
55583	-36.5	-54.28	South Georgia & the South Sandwich Is.
55584	-36.5	-54.28	South Georgia & the South Sandwich Is.
55591	-56.97	-63.38	Antarctica
55594	-63.5	-64.82	Antarctica
55602	-67	-68.17	Antarctica
55617	-44.71	-60.75	Antarctica
55673	-58.93	-62.2	Antarctica
55674	-58.92	-62.19	Antarctica
55682	-58.65	-62.23	Antarctica
55683	-58.65	-62.23	Antarctica
55687	-58.82	-62.17	Antarctica
55688	-58.83	-62.18	Antarctica
55689	-58.85	-62.18	Antarctica
55696	-59.67	-62.48	Antarctica
55704	-60.95	-64.15	Antarctica
55705	-60.94	-64.14	Antarctica
55742	-58.75	-62.21	Antarctica
55744	-55.4	-63.18	Antarctica
55752	-59.58	-83.17	Antarctica
55768	-60.33	-72.22	Antarctica
55769	-60.32	-72.22	Antarctica
55816	11.83	-70.77	Antarctica
55817	11.83	-70.77	Antarctica
55818	11.75	-70.77	Antarctica
55819	11.75	-70.77	Antarctica
55838	77.98	-68.58	Antarctica
55839	77.98	-68.58	Antarctica
55840	77.95	-68.57	Antarctica
55841	77.94	-68.56	Antarctica
55842	77.95	-68.58	Antarctica
55843	77.97	-68.58	Antarctica
55844	77.97	-68.57	Antarctica
55891	140.02	-66.67	Antarctica
55892	140.02	-66.67	Antarctica
55893	140.01	-66.66	Antarctica
55919	162.97	-76.72	Antarctica
55920	162.96	-76.72	Antarctica
55921	162.97	-76.72	Antarctica
55922	162.96	-76.72	Antarctica
55934	170.32	-72.32	Antarctica
55935	170.22	-72.32	Antarctica
55972	107.77	-66.55	Antarctica
55983	111.08	-66.02	Antarctica
55999	146.18	-67.61	Antarctica
56000	146.18	-67.62	Antarctica
56004	163.1	-74.88	Antarctica
56006	163.6	-74.92	Antarctica
56007	163.68	-74.94	Antarctica
56008	163.68	-74.95	Antarctica
56009	163.69	-74.95	Antarctica
56045	-177.37	28.22	United States
56046	-177.37	28.22	United States
56047	-177.37	28.22	United States
56048	-177.37	28.2	United States
56049	-177.37	28.22	United States
56050	-177.37	28.22	United States
56069	-159.33	21.98	United States
56070	-159.33	21.98	United States
56124	-156.7	20.93	United States
56238	-155.07	19.73	United States
56239	-155.07	19.73	United States
56241	-154.82	19.52	United States
56242	-154.81	19.51	United States
56301	167.73	8.73	Marshall Is.
56304	167.73	8.73	Marshall Is.
56305	167.73	8.73	Marshall Is.
56328	134.48	7.33	Palau
56329	134.48	7.33	Palau
56330	134.48	7.33	Palau
56360	157.27	-8.33	Solomon Is.
56361	157.27	-8.33	Solomon Is.
56363	157.27	-8.33	Solomon Is.
56365	160.68	-8.7	Solomon Is.
56406	167.22	-15.52	Vanuatu
56407	167.22	-15.52	Vanuatu
56408	167.22	-15.52	Vanuatu
56410	167.8	-16.42	Vanuatu
56412	167.8	-16.42	Vanuatu
56413	167.8	-16.42	Vanuatu
56414	167.79	-16.42	Vanuatu
56431	169.77	-20.23	Vanuatu
56432	169.77	-20.23	Vanuatu
56495	179.22	-8.5	Tuvalu
56497	179.22	-8.52	Tuvalu
56498	179.22	-8.53	Tuvalu
56499	179.22	-8.52	Tuvalu
56546	178.43	-18.13	Fiji
56598	-170.7	-14.33	American Samoa
56599	-170.7	-14.33	American Samoa
56692	-149.62	-17.54	French Polynesia
56732	-130.1	-25.06	Pitcairn Is.
56776	150.4	-5.47	Papua New Guinea
56777	150.4	-5.47	Papua New Guinea
56808	174.02	-35.12	New Zealand
56809	174.02	-35.11	New Zealand
56813	174.82	-37.02	New Zealand
56814	174.81	-37.01	New Zealand
56818	174.8	-37.02	New Zealand
56819	174.8	-37.02	New Zealand
56820	174.8	-37.02	New Zealand
56914	174.27	-41.73	New Zealand
56915	174.27	-41.73	New Zealand
57103	130.87	-12.47	Australia
57394	139.2	-16.7	Australia
57459	145.77	-16.92	Australia
58151	153.36	-29.43	Australia
58336	134.22	-32.8	Australia
58343	134.88	-33.65	Australia
58344	134.87	-33.65	Australia
58389	137.77	-32.53	Australia
58390	137.77	-32.53	Australia
58778	142.48	-38.38	Australia
58807	143.5	-38.84	Australia
59025	150.15	-35.9	Australia
59052	147.79	-42.9	Australia
59053	147.79	-42.9	Australia
59059	145.33	-42.15	Australia
59060	145.32	-42.15	Australia
59086	147.02	-43.32	Australia
59174	167.97	-29.07	Norfolk I.
59332	147.37	-42.87	Australia
59440	140.02	-66.67	Antarctica
59667	151.27	-33.83	Australia
59671	151.57	-33.27	Australia
59673	151.57	-33.27	Australia
59755	150.15	-35.9	Australia
59793	148.27	-41.33	Australia
59800	148.02	-42.67	Australia
59969	116.89	-1.26	Indonesia
60037	112.63	-5.85	Indonesia
60052	105.67	-10.42	Christmas I.
60053	105.67	-10.42	Christmas I.
60054	105.73	-10.43	Christmas I.
60056	105.68	-10.43	Christmas I.
60057	105.68	-10.43	Christmas I.
60058	105.68	-10.43	Christmas I.
60059	105.68	-10.42	Christmas I.
60063	96.83	-12.18	Cocos Is.
60064	96.83	-12.18	Cocos Is.
60065	96.83	-12.18	Cocos Is.
60067	96.83	-12.18	Cocos Is.
60143	124.38	-9.2	Timor-Leste
60146	124.37	-9.2	Timor-Leste
60147	124.37	-9.2	Timor-Leste
60190	138.72	-1.83	Indonesia
60222	133.75	-3.66	Indonesia
