"","id","longitude","latitude","geo_name"
"1",1,-57.87,-51.7,"Falkland Islands"
"73094",2,-58.97,-69.5,"Antarctic 200NM zone beyond the coastline part of the Southern Ocean"
"73095",3,-136.87,-74.77,"Antarctic 200NM zone beyond the coastline part of the Southern Ocean"
"82537",4,11.83,-70.77,"Antarctica"
"73096",5,39.58,-69,"Antarctic 200NM zone beyond the coastline part of the Southern Ocean"
"2",6,45.83,-67.67,"Antarctica"
"73097",7,62.87,-67.6,"Antarctic 200NM zone beyond the coastline part of the Southern Ocean"
"82538",8,77.97,-68.58,"Antarctica"
"73098",9,93.02,-66.55,"Antarctic 200NM zone beyond the coastline part of the Southern Ocean"
"3",10,106.87,-78.45,"Antarctica"
"73099",11,110.53,-66.28,"Antarctic 200NM zone beyond the coastline part of the Southern Ocean"
"73100",12,110.53,-66.28,"Antarctic 200NM zone beyond the coastline part of the Southern Ocean"
"82539",13,140,-66.67,"Antarctica"
"4",14,159.38,-69.5,"Antarctica"
"5",15,158.95,-54.5,"Australia"
"73101",16,-68.92,-67.77,"Antarctic 200NM zone beyond the coastline part of the Southern Ocean"
"73102",17,-64.27,-65.25,"Antarctic 200NM zone beyond the coastline part of the Southern Ocean"
"73103",18,-64.27,-65.25,"Antarctic 200NM zone beyond the coastline part of the Southern Ocean"
"6",19,-26,75.5,"Greenland"
"7",20,-26,75.52,"Greenland"
"8",21,-26,75.6,"Greenland"
"73104",22,-26,-75.58,"Antarctic 200NM zone beyond the coastline part of the Southern Ocean"
"9",23,-68.13,-67.57,"Antarctica"
"10",24,-68.13,-67.57,"Antarctica"
"11",25,-68.13,-67.57,"Antarctica"
"12",26,14.13,48.05,"Austria"
"13",27,16.57,48.12,"Austria"
"14",28,16.57,48.12,"Austria"
"15",29,11.35,47.27,"Austria"
"16",30,12.95,47.05,"Austria"
"17",31,13,47.8,"Austria"
"18",32,13,47.8,"Austria"
"19",33,13.63,47.72,"Austria"
"20",34,13.67,46.6,"Austria"
"21",35,14.33,46.65,"Austria"
"22",36,15.45,47.08,"Austria"
"23",37,15.45,47.08,"Austria"
"24",38,106.83,-6.18,"Indonesia"
"25",39,-123.53,48.58,"Canada"
"73105",40,-123.05,48.78,"Canadian part of the The Coastal Waters of Southeast Alaska and British Columbia"
"26",41,-123.92,48.38,"Canada"
"27",42,-123.31,48.46,"Canada"
"28",43,-123.32,48.42,"Canada"
"29",44,-123.43,48.65,"Canada"
"30",45,-123.75,48.37,"Canada"
"31",46,-123.46,48.53,"Canada"
"73106",47,-126.93,50.58,"Canadian part of the The Coastal Waters of Southeast Alaska and British Columbia"
"73107",48,-124.16,49.35,"Canadian part of the The Coastal Waters of Southeast Alaska and British Columbia"
"32",49,-125.27,49.95,"Canada"
"33",50,-124.9,49.72,"Canada"
"73108",51,-123.8,49.22,"Canadian part of the The Coastal Waters of Southeast Alaska and British Columbia"
"73109",52,-125.99,50.45,"Canadian part of the The Coastal Waters of Southeast Alaska and British Columbia"
"34",53,-123.87,49.05,"Canada"
"35",54,-127.37,50.68,"Canada"
"73110",55,-124.44,49.49,"Canadian part of the The Coastal Waters of Southeast Alaska and British Columbia"
"73111",56,-125.54,48.92,"Canadian part of the North Pacific Ocean"
"36",57,-127.95,50.92,"Canada"
"73112",58,-128.43,50.78,"Canadian part of the The Coastal Waters of Southeast Alaska and British Columbia"
"73113",59,-126.55,49.38,"Canadian part of the North Pacific Ocean"
"73114",60,-126.55,49.38,"Canadian part of the North Pacific Ocean"
"37",61,-128.12,50.63,"Canada"
"73115",62,-125.1,48.72,"Canadian part of the North Pacific Ocean"
"38",63,-124.83,49.25,"Canada"
"73116",64,-128.91,50.82,"Canadian part of the The Coastal Waters of Southeast Alaska and British Columbia"
"73117",65,-127.94,50.11,"Canadian part of the North Pacific Ocean"
"73118",66,-127.42,50,"Canadian part of the North Pacific Ocean"
"39",67,-125.78,49.08,"Canada"
"40",68,-122.95,50.15,"Canada"
"73119",69,-123.3,49.49,"Canadian part of the The Coastal Waters of Southeast Alaska and British Columbia"
"41",70,-124.5,49.83,"Canada"
"42",71,-123.16,49.78,"Canada"
"43",72,-122.95,50.13,"Canada"
"73120",73,-131.02,51.94,"Canadian part of the North Pacific Ocean"
"73121",74,-132.77,53.32,"Canadian part of the North Pacific Ocean"
"73122",75,-133.06,54.26,"Canadian part of the The Coastal Waters of Southeast Alaska and British Columbia"
"44",76,-133.05,54.25,"Canada"
"73123",77,-131.66,54.16,"Canadian part of the The Coastal Waters of Southeast Alaska and British Columbia"
"45",78,-131.81,53.25,"Canada"
"46",79,-126.6,52.39,"Canada"
"47",80,-130.63,53.5,"Canada"
"73124",81,-127.47,52.19,"Canadian part of the The Coastal Waters of Southeast Alaska and British Columbia"
"73125",82,-131.6,53.03,"Canadian part of the The Coastal Waters of Southeast Alaska and British Columbia"
"73126",83,-128.11,52.19,"Canadian part of the The Coastal Waters of Southeast Alaska and British Columbia"
"73127",84,-129.68,53.05,"Canadian part of the The Coastal Waters of Southeast Alaska and British Columbia"
"73128",85,-130.7,54.58,"Canadian part of the The Coastal Waters of Southeast Alaska and British Columbia"
"73129",86,-127.64,50.95,"Canadian part of the The Coastal Waters of Southeast Alaska and British Columbia"
"73130",87,-130.36,54.17,"Canadian part of the The Coastal Waters of Southeast Alaska and British Columbia"
"73131",88,-128.72,52.26,"Canadian part of the The Coastal Waters of Southeast Alaska and British Columbia"
"48",89,-130.38,54.28,"Canada"
"49",90,-130.44,54.29,"Canada"
"50",91,-129.99,55.94,"Canada"
"51",92,-128.58,54.47,"Canada"
"52",93,-127.18,54.83,"Canada"
"53",94,-124.93,51.98,"Canada"
