"","id","longitude","latitude","geo_name"
"54",95,-122.74,50.3,"Canada"
"55",96,-124.08,52.12,"Canada"
"56",97,-124.14,52.11,"Canada"
"57",98,-125.77,54.23,"Canada"
"58",99,-125.95,54.38,"Canada"
"59",100,-124.25,54.42,"Canada"
"60",101,-122.68,53.89,"Canada"
"61",102,-122.51,53.03,"Canada"
"62",103,-122.05,52.18,"Canada"
"63",104,-122.36,49.02,"Canada"
"64",105,-121.77,49.25,"Canada"
"65",106,-122.69,49.21,"Canada"
"66",107,-123.18,49.2,"Canada"
"67",108,-123.19,49.35,"Canada"
"68",109,-122.78,49.02,"Canada"
"69",110,-121.48,49.37,"Canada"
"70",111,-121.5,49.37,"Canada"
"71",112,-121.58,50.22,"Canada"
"72",113,-121.57,50.23,"Canada"
"73",114,-121.58,50.23,"Canada"
"74",115,-119.38,49.96,"Canada"
"75",116,-119.44,49.03,"Canada"
"76",117,-119.6,49.46,"Canada"
"77",118,-120.51,49.47,"Canada"
"78",119,-119.28,50.23,"Canada"
"79",120,-119.19,50.22,"Canada"
"80",121,-119.64,49.56,"Canada"
"81",122,-117.63,49.3,"Canada"
"82",123,-117.81,50.27,"Canada"
"83",124,-117.92,49.15,"Canada"
"84",125,-117.31,49.49,"Canada"
"85",126,-116.5,49.08,"Canada"
"86",127,-115.78,49.61,"Canada"
"87",128,-115.78,49.73,"Canada"
"88",129,-114.88,49.74,"Canada"
"89",130,-114.89,49.74,"Canada"
"90",131,-119.29,52.13,"Canada"
"91",132,-121.5,51.15,"Canada"
"92",133,-120.44,50.7,"Canada"
"93",134,-119.29,50.7,"Canada"
"94",135,-116.98,51.3,"Canada"
"95",136,-118.18,50.96,"Canada"
"96",137,-118.2,51,"Canada"
"97",138,-118.17,50.95,"Canada"
"98",139,-116.34,51.44,"Canada"
"99",140,-121.38,57.38,"Canada"
"100",141,-121.63,55.69,"Canada"
"101",142,-120.18,55.74,"Canada"
"102",143,-120.74,56.24,"Canada"
"103",144,-124.7,55.79,"Canada"
"104",145,-123.14,55.3,"Canada"
"105",146,-130.02,58.43,"Canada"
"106",147,-130.01,58.43,"Canada"
"107",148,-122.6,58.84,"Canada"
"108",149,-126.43,59.9,"Canada"
"109",150,-130.03,58.42,"Canada"
"110",151,-137.48,61.65,"Canada"
"111",152,-140.87,62.41,"Canada"
"112",153,-139.05,61.37,"Canada"
"113",154,-139.43,64.05,"Canada"
"114",155,-139.13,64.04,"Canada"
"115",156,-133.38,62.21,"Canada"
"116",157,-133.35,62.23,"Canada"
"117",158,-137.58,60.77,"Canada"
"73132",159,-138.91,69.57,"Canadian part of the Beaufort Sea"
"118",160,-140.15,69.16,"Canada"
"73133",161,-140.2,69.61,"Canadian part of the Beaufort Sea"
"119",162,-140.18,69.58,"Canada"
"120",163,-130.04,63.24,"Canada"
"121",164,-135.87,63.62,"Canada"
"122",165,-139.84,67.57,"Canada"
"123",166,-139.84,67.57,"Canada"
"124",167,-136.22,66.98,"Canada"
"125",168,-137.22,68.95,"Canada"
"126",169,-140.4,62.37,"Canada"
"127",170,-132.74,60.17,"Canada"
"128",171,-128.82,60.12,"Canada"
"129",172,-128.82,60.12,"Canada"
"130",173,-135.07,60.71,"Canada"
"131",174,-135,68.22,"Canada"
"132",175,-135.01,68.22,"Canada"
"73134",176,-124.72,70.17,"Canadian part of the Northwestern Passages"
"133",177,-126.08,67.04,"Canada"
"134",178,-123.43,65.22,"Canada"
"135",179,-124.47,61.26,"Canada"
"136",180,-123.44,65.21,"Canada"
"137",181,-128.65,66.24,"Canada"
"138",182,-128.65,66.23,"Canada"
"139",183,-128.63,66.25,"Canada"
"140",184,-123.47,60.23,"Canada"
"141",185,-123.47,60.23,"Canada"
"142",186,-134.86,67.41,"Canada"
"143",187,-125.57,64.91,"Canada"
"144",188,-117.6,61.32,"Canada"
"145",189,-109.17,62.72,"Canada"
"146",190,-109.17,62.71,"Canada"
"147",191,-113.69,61.18,"Canada"
"148",192,-121.35,61.87,"Canada"
"149",193,-121.24,61.76,"Canada"
"150",194,-111.93,60,"Canada"
"151",195,-111.87,60,"Canada"
"152",196,-111.96,60.02,"Canada"
"153",197,-105.13,63.6,"Canada"
"154",198,-115.78,60.84,"Canada"
"155",199,-115.02,64.39,"Canada"
"156",200,-113.73,61.92,"Canada"
"157",201,-133.48,68.3,"Canada"
"158",202,-121.67,69.67,"Canada"
"159",203,-117.25,63.13,"Canada"
"160",204,-128.97,69.93,"Canada"
"161",205,-126.8,65.28,"Canada"
"162",206,-124.07,69.36,"Canada"
"163",207,-124.08,69.36,"Canada"
"164",208,-135.44,69.63,"Canada"
"165",209,-118.03,66.08,"Canada"
"166",210,-117.93,66.08,"Canada"
"167",211,-122.1,68.25,"Canada"
"168",212,-117.33,64.11,"Canada"
"169",213,-117.31,64.12,"Canada"
"170",214,-124.22,64.78,"Canada"
"171",215,-133.03,69.43,"Canada"
"172",216,-122.36,69.2,"Canada"
"173",217,-125.8,61.63,"Canada"
"174",218,-123.44,63.21,"Canada"
"175",219,-114.44,62.46,"Canada"
"176",220,-123.74,61.24,"Canada"
"177",221,-130.91,69.6,"Canada"
"178",222,-130.23,67.18,"Canada"
"179",223,-121.24,60.44,"Canada"
"180",224,-110.68,62.42,"Canada"
"181",225,-133.94,68.91,"Canada"
"182",226,-110.62,64.7,"Canada"
"183",227,-122.85,61.12,"Canada"
"184",228,-113.86,63.6,"Canada"
"185",229,-133.5,68.75,"Canada"
"186",230,-96.08,64.3,"Canada"
"187",231,-91.83,63.75,"Canada"
"188",232,-90.72,63.33,"Canada"
"189",233,-90.73,63.35,"Canada"
"190",234,-110.37,65.48,"Canada"
"73135",235,-115.12,67.83,"Canadian part of the Northwestern Passages"
"73136",236,-115.14,67.82,"Canadian part of the Northwestern Passages"
"191",237,-94.07,61.1,"Canada"
"192",238,-83.36,64.19,"Canada"
"193",239,-100.9,61.13,"Canada"
"194",240,-100.88,61.13,"Canada"
"73137",241,-95.85,68.64,"Canadian part of the Northwestern Passages"
"195",242,-100.09,68.32,"Canada"
"196",243,-113.22,68.5,"Canada"
"197",244,-111.25,65.76,"Canada"
"198",245,-89.8,68.54,"Canada"
"199",246,-89.73,68.44,"Canada"
"200",247,-92.12,62.82,"Canada"
"201",248,-102.43,65.1,"Canada"
"202",249,-79.25,56.54,"Canada"
"203",250,-93.43,68.82,"Canada"
"204",251,-92.6,62.24,"Canada"
"205",252,-98.29,62.71,"Canada"
"206",253,-119.22,69.28,"Canada"
"82540",254,-62.28,82.52,"Canada"
"82541",255,-62.28,82.52,"Canada"
"82542",256,-85.15,73.03,"Canada"
"207",257,-85.01,72.99,"Canada"
"208",258,-64.15,63.34,"Canada"
"209",259,-63.79,67.54,"Canada"
"210",260,-64.03,67.55,"Canada"
"211",261,-105.14,69.11,"Canada"
"212",262,-76.53,64.23,"Canada"
"213",263,-61.38,66.65,"Canada"
"214",264,-61.62,66.58,"Canada"
"73138",265,-66.81,68.47,"Canadian part of the Davis Strait"
"215",266,-107.82,69.04,"Canada"
"216",267,-68.52,70.49,"Canada"
"217",268,-63.58,64.96,"Canada"
"218",269,-71.17,68.65,"Canada"
"73139",270,-85.93,79.98,"Canadian part of the Northwestern Passages"
"73140",271,-94.25,71.92,"Canadian part of the Northwestern Passages"
"219",272,-97.8,68.67,"Canada"
"82543",273,-82.9,76.42,"Canada"
"73141",274,-81.24,68.78,"Canadian part of the Northwestern Passages"
"220",275,-81.82,69.37,"Canada"
"221",276,-103.53,78.78,"Canada"
"222",277,-103.55,78.79,"Canada"
"73142",278,-64.85,60.42,"Canadian part of the Hudson Strait"
"223",279,-69.92,62.83,"Canada"
"224",280,-75.14,68.9,"Canada"
"225",281,-84.62,72.98,"Canada"
"226",282,-77.93,63.12,"Canada"
"227",283,-77.93,63.12,"Canada"
"82544",284,-75.28,68.93,"Canada"
"228",285,-65.73,66.13,"Canada"
"229",286,-65.7,66.13,"Canada"
"230",287,-77.98,72.68,"Canada"
"231",288,-77.98,72.68,"Canada"
"232",289,-105.72,75.37,"Canada"
"82545",290,-86.23,66.52,"Canada"
"233",291,-94.99,74.72,"Canada"
"73143",292,-64.88,61.3,"Canadian part of the Hudson Strait"
"73144",293,-64.63,61.6,"Canadian part of the Davis Strait"
"234",294,-79.03,69.08,"Canada"
"235",295,-93.58,69.55,"Canada"
"236",296,-89.45,65.88,"Canada"
"237",297,-69.88,62.85,"Canada"
"238",298,-119.99,74.14,"Canada"
"239",299,-117.81,70.76,"Canada"
"240",300,-117.81,70.76,"Canada"
"241",301,-118.5,72.77,"Canada"
"242",302,-119.33,76.23,"Canada"
"243",303,-119.32,76.23,"Canada"
"244",304,-125.27,72,"Canada"
"245",305,-125.27,72,"Canada"
"246",306,-119.54,73.23,"Canada"
"247",307,-119.35,76.24,"Canada"
"248",308,-112.82,53.03,"Canada"
"249",309,-111.45,52.07,"Canada"
"250",310,-111.45,52.08,"Canada"
"251",311,-113.58,53.32,"Canada"
"252",312,-113.52,53.57,"Canada"
"253",313,-113.85,53.67,"Canada"
"254",314,-110.07,53.31,"Canada"
"255",315,-114.92,52.38,"Canada"
"256",316,-114.92,52.43,"Canada"
"257",317,-114.91,52.42,"Canada"
"258",318,-110.83,53.35,"Canada"
"259",319,-115.12,53.15,"Canada"
"260",320,-112.1,53.52,"Canada"
"261",321,-110.2,51.67,"Canada"
"262",322,-111.1,52.83,"Canada"
"263",323,-112.67,51.43,"Canada"
"264",324,-113.89,52.18,"Canada"
"265",325,-114.68,51.77,"Canada"
"266",326,-111.85,50.55,"Canada"
"267",327,-114.02,51.11,"Canada"
"268",328,-113.63,50,"Canada"
"269",329,-114.08,49.63,"Canada"
"270",330,-112.8,49.63,"Canada"
"271",331,-110.72,50.02,"Canada"
"272",332,-113.95,49.5,"Canada"
"273",333,-114,49.52,"Canada"
"274",334,-113.99,49.52,"Canada"
"275",335,-111.18,50.27,"Canada"
"276",336,-114.37,51.1,"Canada"
"277",337,-112.05,49.13,"Canada"
"278",338,-110.47,49.12,"Canada"
"279",339,-115.55,51.19,"Canada"
"280",340,-115.57,51.18,"Canada"
"281",341,-118.07,52.88,"Canada"
"282",342,-118.03,52.93,"Canada"
"283",343,-114.45,54.09,"Canada"
"284",344,-116.42,53.58,"Canada"
"285",345,-116.48,53.59,"Canada"
"286",346,-116.47,53.58,"Canada"
"287",347,-111.38,58.2,"Canada"
"288",348,-111.38,56.73,"Canada"
"289",349,-111.22,56.65,"Canada"
"290",350,-111.97,54.77,"Canada"
"291",351,-112.02,54.77,"Canada"
"292",352,-114.78,55.28,"Canada"
"293",353,-114.78,55.3,"Canada"
"294",354,-114.98,55.35,"Canada"
"295",355,-115.67,54.13,"Canada"
"296",356,-115.79,54.14,"Canada"
"297",357,-110.06,54.79,"Canada"
"298",358,-110.44,58.98,"Canada"
"299",359,-118.38,56.07,"Canada"
"300",360,-111.15,58.72,"Canada"
"301",361,-111.12,58.77,"Canada"
"302",362,-118.88,55.18,"Canada"
"303",363,-117.1,58.52,"Canada"
"304",364,-117.17,58.62,"Canada"
"305",365,-117.87,57.8,"Canada"
"306",366,-117.45,56.23,"Canada"
"307",367,-115.28,56.55,"Canada"
"308",368,-119.23,55.7,"Canada"
"309",369,-110.28,54.42,"Canada"
"310",370,-102.57,50.37,"Canada"
"311",371,-102.53,50.25,"Canada"
"312",372,-102.97,49.22,"Canada"
"313",373,-105.25,51.42,"Canada"
"314",374,-105.55,50.33,"Canada"
"315",375,-105.56,50.33,"Canada"
"316",376,-104.67,50.43,"Canada"
"317",377,-105.4,51.67,"Canada"
"318",378,-104.2,51.77,"Canada"
"319",379,-102.47,51.27,"Canada"
"320",380,-104.2,51.77,"Canada"
"321",381,-103.8,49.7,"Canada"
"322",382,-105.93,49.73,"Canada"
"323",383,-106.58,51.13,"Canada"
"324",384,-106.58,51.13,"Canada"
"325",385,-107.15,50.95,"Canada"
"326",386,-109.47,49.9,"Canada"
"327",387,-107.68,50.3,"Canada"
"328",388,-109.5,50.9,"Canada"
"329",389,-109.52,49.65,"Canada"
"330",390,-108.98,49.43,"Canada"
"331",391,-105.98,49.17,"Canada"
"332",392,-107.58,49.07,"Canada"
"333",393,-109.18,51.52,"Canada"
"334",394,-109.17,51.47,"Canada"
"335",395,-108.26,52.77,"Canada"
"336",396,-107.92,51.57,"Canada"
"337",397,-104.6,52.82,"Canada"
"338",398,-105.67,53.22,"Canada"
"339",399,-106.72,52.17,"Canada"
"340",400,-108.47,55.85,"Canada"
"341",401,-108.43,55.83,"Canada"
"342",402,-109.52,58.39,"Canada"
"343",403,-103.7,58.18,"Canada"
"344",404,-103.7,58.18,"Canada"
"345",405,-107.13,57.35,"Canada"
"346",406,-109.97,54.9,"Canada"
"347",407,-105.6,57.25,"Canada"
"348",408,-105.27,55.15,"Canada"
"349",409,-108.43,54.13,"Canada"
"350",410,-108.52,54.13,"Canada"
"351",411,-103.28,56.33,"Canada"
"352",412,-107.55,53.37,"Canada"
"353",413,-105.83,59.25,"Canada"
"354",414,-108.48,59.57,"Canada"
"355",415,-106.07,53.92,"Canada"
"356",416,-108.48,59.57,"Canada"
"357",417,-104,53.33,"Canada"
"358",418,-102.4,52.87,"Canada"
"359",419,-102.32,52.82,"Canada"
"360",420,-99.95,49.92,"Canada"
"361",421,-98.27,49.9,"Canada"
"362",422,-98.27,49.9,"Canada"
"363",423,-100.32,50.02,"Canada"
"364",424,-100.6,50.45,"Canada"
"365",425,-99.64,49.78,"Canada"
"366",426,-99.93,50.65,"Canada"
"367",427,-100.98,49.28,"Canada"
"368",428,-97.24,49,"Canada"
"369",429,-97.56,49.03,"Canada"
"370",430,-98.9,49.2,"Canada"
"371",431,-97.03,50.05,"Canada"
"372",432,-95.6,49.02,"Canada"
"373",433,-97.23,49.92,"Canada"
"374",434,-97.02,52.36,"Canada"
"375",435,-97.03,52.35,"Canada"
"376",436,-95.7,51.03,"Canada"
"377",437,-97.62,52.82,"Canada"
"378",438,-97.55,51.08,"Canada"
"379",439,-97.02,50.63,"Canada"
"380",440,-97.05,50.63,"Canada"
"381",441,-97.05,50.63,"Canada"
"382",442,-99.27,53.18,"Canada"
"383",443,-96.63,51.17,"Canada"
"384",444,-99.27,53.18,"Canada"
"385",445,-96.06,50.18,"Canada"
"386",446,-100.05,51.1,"Canada"
"387",447,-98.03,50.63,"Canada"
"388",448,-101.23,52.12,"Canada"
"389",449,-101.68,54.68,"Canada"
"390",450,-101.68,54.68,"Canada"
"391",451,-100.94,53.03,"Canada"
"392",452,-101.1,53.97,"Canada"
"393",453,-94.2,56.5,"Canada"
"394",454,-101.68,57.88,"Canada"
"73145",455,-94.18,58.78,"Canadian part of the Hudson Bay"
"73146",456,-94.18,58.78,"Canadian part of the Hudson Bay"
"395",457,-94.06,58.74,"Canada"
"396",458,-94.7,56.35,"Canada"
"397",459,-94.71,56.36,"Canada"
"398",460,-94.65,53.85,"Canada"
"399",461,-101.08,56.86,"Canada"
"400",462,-98.5,58.72,"Canada"
"401",463,-97.87,55.8,"Canada"
"402",464,-98.63,54.92,"Canada"
"403",465,-97.85,53.95,"Canada"
"404",466,-89.87,53.83,"Canada"
"405",467,-89.9,53.82,"Canada"
"406",468,-93.22,50.63,"Canada"
"407",469,-87.88,52.23,"Canada"
"408",470,-87.94,52.2,"Canada"
"409",471,-85.43,54.98,"Canada"
"410",472,-90.22,51.45,"Canada"
"411",473,-93.79,51.07,"Canada"
"412",474,-85.12,55.23,"Canada"
"413",475,-91.62,48.75,"Canada"
"414",476,-91.63,48.76,"Canada"
"415",477,-92.75,49.83,"Canada"
"416",478,-94.37,49.79,"Canada"
"417",479,-94.76,49.47,"Canada"
"418",480,-91.9,50.12,"Canada"
"419",481,-88.9,50.29,"Canada"
"420",482,-89.03,50.3,"Canada"
"421",483,-88.35,49.15,"Canada"
"422",484,-85.83,47.33,"Canada"
"423",485,-86.95,49.7,"Canada"
"424",486,-86.93,49.78,"Canada"
"425",487,-90.58,49.27,"Canada"
"426",488,-86.7,50.18,"Canada"
"427",489,-86.3,48.59,"Canada"
"428",490,-87.1,48.82,"Canada"
"429",491,-89.33,48.37,"Canada"
"430",492,-90.47,49.03,"Canada"
"431",493,-89.12,48.37,"Canada"
"432",494,-88.33,49.71,"Canada"
"433",495,-82.56,46.35,"Canada"
"434",496,-84.51,46.48,"Canada"
"435",497,-84.78,47.97,"Canada"
"436",498,-85.28,48.6,"Canada"
"437",499,-81.48,45.97,"Canada"
"438",500,-83.43,47.83,"Canada"
"439",501,-83.35,47.82,"Canada"
"440",502,-80.8,46.62,"Canada"
"441",503,-79.85,47.7,"Canada"
"442",504,-82.47,49.41,"Canada"
"443",505,-80.5,51.23,"Canada"
"73147",506,-80.65,51.27,"Canadian part of the Hudson Bay"
"73148",507,-80.61,51.29,"Canadian part of the Hudson Bay"
"444",508,-84.16,49.75,"Canada"
"445",509,-81.38,48.57,"Canada"
"446",510,-79.42,46.36,"Canada"
"447",511,-82.57,45.88,"Canada"
"448",512,-82.95,45.63,"Canada"
"449",513,-75.85,44.42,"United States of America"
"450",514,-77.42,45.57,"Canada"
"451",515,-76.6,44.22,"Canada"
"452",516,-75.67,45.32,"Canada"
"453",517,-77.32,45.95,"Canada"
"454",518,-79.78,44.38,"Canada"
"455",519,-79.87,44.85,"Canada"
"456",520,-80.53,45.8,"Canada"
"457",521,-80.22,44.5,"Canada"
"458",522,-79.22,44.55,"Canada"
"459",523,-79.3,44.97,"Canada"
"460",524,-81.11,44.75,"Canada"
"461",525,-80.02,44.52,"Canada"
"462",526,-80.37,45.03,"Canada"
"463",527,-79.92,44.27,"Canada"
"464",528,-81.73,45.33,"Canada"
"465",529,-81.72,43.77,"Canada"
"466",530,-81.27,44.72,"Canada"
"467",531,-82.31,42.99,"Canada"
"468",532,-82.7,42.3,"Canada"
"469",533,-80.55,42.87,"Canada"
"470",534,-80.05,42.57,"Canada"
"471",535,-79.22,43.25,"Canada"
"472",536,-79.17,43.2,"Canada"
"473",537,-80.27,42.85,"Canada"
"474",538,-80.27,42.85,"Canada"
"475",539,-82.47,41.83,"Canada"
"476",540,-79.25,42.87,"Canada"
"477",541,-81.9,42.25,"Canada"
"478",542,-81.15,43.03,"Canada"
"479",543,-80.75,43.98,"Canada"
"480",544,-80.75,43.98,"Canada"
"481",545,-80.38,43.45,"Canada"
"482",546,-79.8,43.3,"Canada"
"483",547,-78.17,43.95,"Canada"
"484",548,-79.93,43.17,"Canada"
"485",549,-77.15,43.83,"Canada"
"486",550,-77.63,44.32,"Canada"
"487",551,-79.48,43.75,"Canada"
"488",552,-79.39,43.63,"Canada"
"489",553,-79.63,43.68,"Canada"
"490",554,-79.13,43.95,"Canada"
"491",555,-77.53,44.12,"Canada"
"492",556,-79.37,43.86,"Canada"
"493",557,-78.37,44.23,"Canada"
"494",558,-77.88,45.07,"Canada"
"73149",559,-70.81,47,"Canadian part of the Gulf of St-Lawrence"
"495",560,-73.44,45.81,"Canada"
"496",561,-71.23,47.56,"Canada"
"497",562,-71.38,46.8,"Canada"
"498",563,-72.73,46.56,"Canada"
"82546",564,-72.52,46.35,"Canada"
"499",565,-72.68,46.35,"Canada"
"500",566,-71.5,46.9,"Canada"
"501",567,-71.5,46.9,"Canada"
"502",568,-70.78,46.2,"Canada"
"503",569,-72.06,46.3,"Canada"
"504",570,-73.58,45.51,"Canada"
"505",571,-73.55,45.48,"Canada"
"506",572,-72.24,45.31,"Canada"
"507",573,-73.75,45.47,"Canada"
"508",574,-72.66,46.23,"Canada"
"509",575,-73.68,45.17,"Canada"
"510",576,-73.42,45.52,"Canada"
"511",577,-71.68,45.43,"Canada"
"512",578,-72.58,45.15,"Canada"
"513",579,-74.29,45.12,"Canada"
"514",580,-75.57,45.52,"Canada"
"515",581,-76.01,46.3,"Canada"
"516",582,-75.99,46.27,"Canada"
"517",583,-74.03,45.67,"Canada"
"518",584,-74.28,46.05,"Canada"
"519",585,-74.56,46.08,"Canada"
"520",586,-68.2,49.13,"Canada"
"73150",587,-57.22,51.42,"Canadian part of the Gulf of St-Lawrence"
"521",588,-57.18,51.45,"Canada"
"522",589,-70.64,47.28,"Canada"
"82547",590,-59.64,50.47,"Canada"
"523",591,-70.78,47.08,"Canada"
"524",592,-68.13,51.95,"Canada"
"73151",593,-59.5,50.53,"Canadian part of the Gulf of St-Lawrence"
"73152",594,-63.6,50.25,"Canadian part of the Gulf of St-Lawrence"
"525",595,-63.6,50.28,"Canada"
"526",596,-63.28,51.87,"Canada"
"82548",597,-64.23,50.27,"Canada"
"527",598,-68.83,50.65,"Canada"
"528",599,-64.13,50.28,"Canada"
"73153",600,-61.82,50.18,"Canadian part of the Gulf of St-Lawrence"
"529",601,-66.27,50.22,"Canada"
"530",602,-63.28,51.87,"Canada"
"73154",603,-67.38,49.32,"Canadian part of the Gulf of St-Lawrence"
"531",604,-67.44,48.47,"Canada"
"73155",605,-64.32,48.42,"Canadian part of the Gulf of St-Lawrence"
"532",606,-65.32,49.25,"Canada"
"533",607,-64.48,48.78,"Canada"
"534",608,-61.87,47.38,"Canada"
"73156",609,-61.7,49.09,"Canadian part of the Gulf of St-Lawrence"
"535",610,-68.22,48.6,"Canada"
"82549",611,-65.33,48.01,"Canada"
"536",612,-68.47,48.51,"Canada"
"82550",613,-64.35,49.82,"Canada"
"537",614,-64.45,49.85,"Canada"
"538",615,-64.29,49.84,"Canada"
"73157",616,-64.4,49.02,"Canadian part of the Gulf of St-Lawrence"
"539",617,-69.55,47.8,"Canada"
"540",618,-69.55,47.81,"Canada"
"541",619,-66.65,49.11,"Canada"
"542",620,-71,48.33,"Canada"
"543",621,-71.01,50.73,"Canada"
"544",622,-73.36,49.28,"Canada"
"545",623,-71.17,49.84,"Canada"
"546",624,-71.15,48.42,"Canada"
"547",625,-71.72,48.6,"Canada"
"548",626,-72.55,48.84,"Canada"
"549",627,-71.03,48.89,"Canada"
"550",628,-72.27,48.52,"Canada"
"551",629,-71.11,51.53,"Canada"
"552",630,-74.62,47.92,"Canada"
"553",631,-72.79,47.41,"Canada"
"554",632,-79.24,47.55,"Canada"
"555",633,-79.46,48.63,"Canada"
