id	longitude	latitude	marine_region
4	11.83	-70.77	NA
8	77.97	-68.58	NA
13	140	-66.67	NA
254	-62.28	82.52	NA
255	-62.28	82.52	NA
256	-85.15	73.03	NA
273	-82.9	76.42	NA
284	-75.28	68.93	NA
290	-86.23	66.52	NA
564	-72.52	46.35	NA
590	-59.64	50.47	NA
597	-64.23	50.27	NA
611	-65.33	48.01	NA
613	-64.35	49.82	NA
754	-53.58	49.11	NA
788	-177.37	28.22	NA
799	-135.33	57.05	NA
936	178.43	-18.13	NA
937	178.43	-18.13	NA
989	18.08	69.35	NA
990	18.08	69.35	NA
1003	18.92	69.33	NA
1005	16.37	78.65	NA
1008	18.93	69.65	NA
1009	18.93	69.65	NA
1062	23.67	70.67	NA
1066	23.68	70.67	NA
1079	25.07	76.5	NA
1080	25.07	76.5	NA
1082	25.06	76.5	NA
1114	29.85	70.07	NA
1159	12.22	65.47	NA
1160	12.22	65.47	NA
1163	12.22	65.47	NA
1164	12.22	65.45	NA
1230	14.67	68.25	NA
1397	11.45	64.02	NA
1409	11.13	64.83	NA
1414	11.58	64.47	NA
1415	11.57	64.47	NA
1631	5.55	58.65	NA
1753	10.62	59.88	NA
1883	11.78	57.7	NA
2198	21.57	64.47	NA
2200	21.57	64.47	NA
2208	21.57	64.47	NA
2277	17.53	62.37	NA
2278	17.53	62.37	NA
2284	17.17	61.45	NA
2720	23.12	63.85	NA
2747	24.79	65.02	NA
2867	21.7	60.12	NA
2974	-1.27	60.45	NA
2975	-1.27	60.45	NA
2976	-1.27	60.45	NA
3009	-7.32	57.15	NA
3010	-7.31	57.15	NA
3020	-6.33	58.22	NA
3021	-6.32	58.22	NA
3022	-6.32	58.22	NA
3025	-6.77	57.43	NA
3027	-6.77	57.43	NA
3038	-5.7	57.58	NA
3039	-5.7	57.58	NA
3075	-3.38	58.87	NA
3077	-3.38	58.87	NA
3083	-4.17	57.67	NA
3131	-2.27	56.84	NA
3173	-5.13	54.85	NA
3179	-4.82	55.65	NA
3504	-4.07	52.55	NA
3505	-4.07	52.55	NA
3798	0.85	51.55	NA
3975	-4.12	50.35	NA
3977	-4.12	50.34	NA
3978	-4.12	50.35	NA
4017	-1.3	50.82	NA
4020	-1.28	50.58	NA
4026	-1.3	50.82	NA
4033	-1.22	50.8	NA
4034	-1.21	50.8	NA
4035	-1.22	50.8	NA
4066	-2.6	49.43	NA
4067	-2.6	49.43	NA
4093	-7.02	55.07	NA
4095	-7.02	55.07	NA
4132	-5.8	54.85	NA
4162	-9.9	53.32	NA
4190	-8.23	54.5	NA
4237	-21.93	64.13	NA
4238	-21.93	64.13	NA
4240	-21.93	64.13	NA
4276	-18.08	65.65	NA
4320	-14.23	65.03	NA
4417	-51.22	68.83	NA
4438	-53.7	66.93	NA
4440	-53.7	66.93	NA
4451	-53.72	66.95	NA
4468	-51.72	64.17	NA
4473	-51.55	63.7	NA
4503	-46.05	60.72	NA
4504	-46.05	60.72	NA
4506	-46.05	60.72	NA
4508	-46.05	60.72	NA
4513	-46.05	60.92	NA
4592	-42.13	62.53	NA
4593	-42.13	62.53	NA
4594	-42.25	62.42	NA
4630	-6.75	62.05	NA
4650	9.95	57.58	NA
4709	10.52	56.1	NA
4711	10.52	56.1	NA
4742	8.57	55.17	NA
4785	10.57	55.02	NA
4786	10.57	55.01	NA
4787	10.57	55.02	NA
4809	11.97	54.57	NA
4811	11.77	55.08	NA
4812	11.78	55.08	NA
4844	12.35	56.12	NA
4846	12.35	56.12	NA
4915	4.72	53	NA
5013	4.01	51.43	NA
5846	-2.75	47.63	NA
6252	5.92	43.1	NA
6253	5.93	43.1	NA
6254	5.93	43.1	NA
6255	5.93	43.1	NA
6256	5.93	43.09	NA
6258	5.93	43.1	NA
6280	6.95	43.53	NA
6332	9.18	41.37	NA
6333	9.18	41.37	NA
6348	-16.77	32.7	NA
6349	-8.37	43.38	NA
6382	-3.83	43.43	NA
6383	-3.82	43.43	NA
6384	-3.82	43.43	NA
6386	-3.82	43.43	NA
6392	-3.81	43.46	NA
6717	2.62	39.55	NA
6824	-1	37.58	NA
6825	-1	37.58	NA
6862	-4.47	36.65	NA
6863	-4.47	36.65	NA
6882	-31.13	39.45	NA
6883	-31.13	39.45	NA
6884	-31.13	39.44	NA
6891	-28.63	38.53	NA
6910	-25.72	37.75	NA
6911	-25.72	37.75	NA
6962	-8.83	41.68	NA
7228	10.2	54.45	NA
7235	10.18	54.38	NA
7238	11.07	54.53	NA
7239	11.07	54.53	NA
7321	12.1	54.18	NA
9102	15.35	54.15	NA
9751	14.9	45	NA
9823	16.45	43.17	NA
9824	16.45	43.17	NA
10129	14.7	45.17	NA
10135	14.9	45	NA
10168	16.45	43.17	NA
11053	27.92	43.2	NA
11054	27.92	43.2	NA
11055	27.92	43.19	NA
11056	27.92	43.2	NA
11057	27.95	43.2	NA
11366	8.03	43.88	NA
11507	13.12	41.25	NA
11760	9.05	39.25	NA
11761	9.05	39.25	NA
11762	9.05	39.25	NA
11764	9.05	39.25	NA
11765	9.04	39.25	NA
11810	25.92	40.85	NA
11818	19.92	39.6	NA
11862	26.59	39.07	NA
11863	26.6	39.06	NA
11869	26.59	39.07	NA
11893	20.5	38.12	NA
11894	20.5	38.11	NA
11943	26.92	37.68	NA
11944	22.1	37.03	NA
11951	25.38	37.1	NA
11957	21.7	36.83	NA
11958	21.7	36.83	NA
11962	24.42	36.72	NA
11964	24.45	36.72	NA
11965	24.45	36.72	NA
11966	24.45	36.71	NA
11986	24.12	35.48	NA
11988	24.12	35.48	NA
12013	26.13	35.2	NA
12082	28.81	40.96	NA
12083	28.81	40.96	NA
12089	29.07	40.96	NA
12170	26.4	40.13	NA
12171	26.4	40.13	NA
12172	26.4	40.13	NA
12187	29.28	40.67	NA
12418	28.27	36.85	NA
12420	30.7	36.88	NA
12424	30.7	36.88	NA
12425	30.7	36.88	NA
12493	32.48	34.71	NA
12521	57.95	80.62	NA
12528	58	80.12	NA
12532	79.7	80.83	NA
12533	79.69	80.82	NA
12569	82.23	77.5	NA
12571	82.22	77.5	NA
12572	82.23	77.5	NA
12607	83.25	75.92	NA
12608	83.25	75.92	NA
12609	83.25	75.92	NA
12754	139.77	73.4	NA
12755	139.77	73.38	NA
12785	129.08	71.93	NA
12828	136.58	71.5	NA
12829	136.58	71.5	NA
12903	33.5	69.18	NA
13041	48.77	67.7	NA
13043	48.77	67.7	NA
13066	36.92	66.28	NA
13127	35.71	65.02	NA
13129	35.7	65.03	NA
13130	35.69	65.03	NA
13518	61.68	69.77	NA
13575	57.97	68.8	NA
13664	70.2	66.7	NA
13667	72.38	66.5	NA
14547	170.26	69.7	NA
14548	170.25	69.7	NA
14549	170.25	69.7	NA
14563	175.77	69.88	NA
14564	175.77	69.88	NA
