id	longitude	latitude	marine_region
14623	-175.05	67.42	NA
14708	177.56	64.77	NA
14844	154.7	60.2	NA
14845	154.27	59.65	NA
14851	163.63	60.87	NA
14853	163.62	60.87	NA
14863	169.58	60.45	NA
14866	170.73	60.43	NA
14867	171.08	60.55	NA
14873	24.04	59.34	NA
14961	22.08	58.92	NA
15041	21.9	58.25	NA
17854	140.5	57.85	NA
18213	140.3	49	NA
18346	131.92	43.12	NA
18423	143.2	52.4	NA
18426	141.9	51.6	NA
18478	142.08	45.9	NA
18517	155.48	50.83	NA
18599	162.13	54.82	NA
18643	156.48	51.48	NA
18644	156.48	51.48	NA
18645	156.48	51.48	NA
18647	156.48	51.48	NA
18648	156.48	51.48	NA
19166	33.45	46.05	NA
19167	33.44	46.05	NA
19224	34.17	44.48	NA
19907	51.25	46.87	NA
19908	51.78	46.77	NA
19909	50.2	46.75	NA
19910	50.2	46.75	NA
20486	47.48	44.47	NA
20514	40.27	43.25	NA
20551	40.97	42.98	NA
20665	47.5	43	NA
20667	47.5	43	NA
20668	47.5	43	NA
20669	47.88	42.57	NA
20897	50.03	40.97	NA
20965	50.82	40.23	NA
20968	50.03	40.25	NA
20972	50.69	40.44	NA
20979	50.55	40.33	NA
20981	50.32	40.47	NA
21021	49.48	39.98	NA
21026	49.58	39.77	NA
21027	49.6	39.75	NA
21047	49.52	39.38	NA
21049	49.52	39.38	NA
21073	48.88	38.45	NA
21075	48.88	38.44	NA
21076	48.88	38.45	NA
21085	50.65	44.22	NA
21133	51.08	43.58	NA
21134	51.07	43.57	NA
21135	51.08	43.58	NA
21138	51.67	43.15	NA
21268	52.65	41.28	NA
21270	52.98	41.02	NA
21271	52.98	41.01	NA
21454	53.18	39.25	NA
21456	53.08	38.92	NA
21458	53.1	39.1	NA
21548	53.67	37.47	NA
21816	35.75	35.55	NA
21817	35.78	35.5	NA
21818	35.78	35.5	NA
21819	35.77	35.53	NA
21820	35.76	35.53	NA
22130	50.62	26.27	NA
22131	50.63	26.27	NA
22135	51.55	24.9	NA
22277	49.4	14.65	NA
22282	42.62	15.33	NA
22292	45.03	12.83	NA
22503	52.65	36.72	NA
22517	52.65	36.72	NA
22673	49.2	30.5	NA
22674	49.2	30.5	NA
22770	60.62	25.28	NA
22954	50.65	26.27	NA
22955	50.62	26.27	NA
22956	50.65	26.26	NA
22961	51.1	26.08	NA
22980	51.55	24.9	NA
22989	55.32	25.25	NA
22993	45.03	12.83	NA
23013	56.23	26.22	NA
23174	49.36	14.64	NA
23219	45.03	12.82	NA
23220	45.03	12.83	NA
23223	45.03	12.83	NA
23226	45.03	12.83	NA
23229	45.03	12.83	NA
23603	91.83	22.25	NA
23612	91.42	22.48	NA
23613	91.1	22.45	NA
23631	91.1	22.43	NA
23632	91.43	22.48	NA
24355	72.87	18.63	NA
24424	83.3	17.68	NA
24501	74.13	14.77	NA
24571	80.2	12.62	NA
24613	92.72	11.67	NA
24614	92.72	11.67	NA
24615	92.72	11.67	NA
24616	92.72	11.66	NA
24695	80.02	9.65	NA
24715	81.67	7.7	NA
25094	113.85	22.25	NA
25099	113.55	22.2	NA
25101	113.55	22.2	NA
25154	118.37	24.43	NA
25155	118.37	24.43	NA
25308	125.37	38.72	NA
25309	125.36	38.71	NA
25416	126.55	36.19	NA
25417	126.55	36.2	NA
25594	128.7	35.13	NA
25595	128.7	35.13	NA
25646	126.16	33.29	NA
25652	126.57	33.23	NA
25653	126.57	33.23	NA
25654	126.56	33.23	NA
25853	141.14	41.23	NA
26178	138.85	34.6	NA
26179	138.85	34.6	NA
26333	135.32	35.45	NA
26335	135.32	35.45	NA
26336	135.32	35.45	NA
26375	132.23	34.13	NA
26390	132.55	34.23	NA
26391	132.55	34.23	NA
26392	132.54	34.23	NA
26393	132.55	34.23	NA
26503	129.72	33.15	NA
26578	131.42	31.57	NA
26579	131.42	31.57	NA
26580	131.42	31.56	NA
26582	131.41	31.58	NA
26591	130.98	30.73	NA
26592	130.98	30.73	NA
26672	132.54	33.23	NA
26711	123.75	24.38	NA
26713	124.17	24.33	NA
26714	124.17	24.33	NA
26715	124.17	24.33	NA
26717	124.17	24.33	NA
26896	96.18	16.77	NA
27317	101.35	12.63	NA
27318	101.35	12.63	NA
27335	99.82	11.83	NA
27336	99.82	11.82	NA
27337	102.88	11.78	NA
27338	102.88	11.78	NA
27339	102.88	11.78	NA
27389	98.4	7.97	NA
29212	118.33	38.13	NA
31043	119.2	25.27	NA
31133	118.07	24.45	NA
31135	118.07	24.45	NA
31136	118.08	24.48	NA
31137	118.07	24.48	NA
31138	118.08	24.48	NA
31339	112.75	21.68	NA
31359	108.63	19.13	NA
31416	-17.75	28.61	NA
31433	-16.25	28.45	NA
31436	-16.25	28.45	NA
31457	-13.58	28.95	NA
31470	-15.93	23.72	NA
31472	-15.93	23.72	NA
31475	-15.93	23.72	NA
31666	2.18	36.6	NA
32399	-12.5	7.53	NA
32401	-12.5	7.53	NA
32436	72.48	-7.35	NA
32438	72.48	-7.35	NA
32479	55.48	-21.33	NA
32480	55.48	-21.33	NA
32658	29.87	31.18	NA
32671	32.23	31.28	NA
32673	32.23	31.28	NA
32674	32.23	31.28	NA
32675	32.23	31.28	NA
33056	45.35	2.03	NA
33325	39.62	-4.03	NA
33327	39.62	-4.03	NA
33337	39.72	-5.07	NA
33374	55.52	-4.67	NA
33378	55.52	-4.67	NA
33380	55.53	-4.68	NA
33451	12.42	-6	NA
33618	8.75	-0.72	NA
34205	-10.77	6.28	NA
34353	49.82	-17.08	NA
34354	49.82	-17.08	NA
34407	40.37	-11.35	NA
34408	40.37	-11.35	NA
34459	36.88	-17.88	NA
34460	36.88	-17.88	NA
35616	29.55	-31.63	NA
35618	29.55	-31.63	NA
35619	29.55	-31.63	NA
35622	17.85	-32.83	NA
35625	17.85	-32.83	NA
35627	17.85	-32.83	NA
35628	17.85	-32.83	NA
35695	28.92	-32.23	NA
35696	18.12	-33.2	NA
35790	19.22	-34.42	NA
35828	37.87	-46.88	NA
35830	37.87	-46.88	NA
35832	37.87	-46.88	NA
35834	37.87	-46.88	NA
35909	-86.68	30.42	NA
35910	-86.67	30.42	NA
36055	-86.67	30.42	NA
36056	-86.67	30.42	NA
36057	-86.67	30.42	NA
36083	-86.68	30.42	NA
36084	-86.67	30.42	NA
36085	-86.67	30.42	NA
36480	-165.44	64.51	NA
36481	-165.44	64.51	NA
36540	-166.15	61.53	NA
36659	-135.45	58.11	NA
36661	-135.45	58.1	NA
36662	-135.45	58.1	NA
36664	-135.45	58.08	NA
36817	134.48	7.33	NA
36901	-170.22	57.15	NA
36904	-170.22	57.15	NA
36922	-158.55	58.99	NA
36979	-152.49	57.75	NA
36981	-152.49	57.75	NA
36984	-154.13	56.53	NA
37028	-135.52	59.23	NA
37049	-135.33	57.05	NA
37050	-135.33	57.05	NA
37051	-135.33	57.05	NA
37071	-134.9	58.25	NA
37072	-134.9	58.25	NA
37073	-136.35	58.2	NA
37076	-136.35	58.2	NA
37077	-136.35	58.2	NA
37096	-132.95	56.82	NA
37097	-132.97	56.82	NA
37098	-132.97	56.82	NA
37101	-132.97	56.82	NA
37152	-131.57	55.13	NA
37317	-89.43	65.87	NA
37327	-125.28	71.98	NA
37495	-62.28	82.52	NA
37498	-62.28	82.52	NA
37499	-62.28	82.52	NA
37520	-68.55	70.45	NA
37528	-68.55	70.45	NA
37539	-75.28	68.93	NA
37547	-66.78	68.43	NA
37548	-66.78	68.43	NA
37549	-66.78	68.43	NA
37575	-86.23	66.52	NA
37577	-86.22	66.52	NA
37578	-86.22	66.52	NA
37587	-64.05	67.55	NA
37913	-70.12	48.27	NA
37937	-53.58	49.12	NA
37943	-59.18	47.57	NA
37954	-123.43	48.43	NA
38211	-73.93	45.43	NA
38224	-70.8	47.07	NA
38293	-60.23	45.71	NA
38564	-64.23	50.27	NA
38632	-93.57	69.53	NA
38638	-128.15	52.18	NA
38639	-128.15	52.18	NA
38721	-65.32	48.01	NA
38744	-73.93	45.42	NA
38752	-73.75	45.46	NA
38959	-72.52	46.35	NA
38960	-72.52	46.34	NA
39085	-128.15	52.18	NA
39137	-123.43	48.43	NA
39201	-64.35	49.82	NA
39217	-66.27	50.21	NA
39235	-59.63	50.47	NA
39236	-59.63	50.47	NA
39237	-59.63	50.47	NA
39781	-70	60.01	NA
39796	-68.42	58.08	NA
39801	-68.42	58.08	NA
39894	-93.57	69.53	NA
39895	-93.57	69.53	NA
39921	-85.15	73.03	NA
39943	-81.02	76.2	NA
39953	-108.02	66.85	NA
39968	-82.95	76.42	NA
39969	-82.92	76.42	NA
39970	-82.9	76.42	NA
39972	-82.9	76.42	NA
39978	-105.11	69.1	NA
40021	-53.57	49.1	NA
40148	-124.02	69.35	NA
40199	-129.98	55.93	NA
40311	-82.9	76.42	NA
40581	-97.09	27.81	NA
40605	-80.58	24.95	NA
40712	-80.92	29.07	NA
40838	-82.62	27.77	NA
40841	-82.62	27.77	NA
40980	-76.48	38.98	NA
41321	-90.07	29.19	NA
41322	-90.07	29.18	NA
41508	-93.87	29.73	NA
42419	-117.22	32.72	NA
43703	-75.87	37.98	NA
43846	-74.02	40.1	NA
44995	-122.22	37.75	NA
44996	-122.22	37.75	NA
44997	-122.22	37.75	NA
45241	-69.98	41.68	NA
45245	-70	41.67	NA
45264	-71.93	41.07	NA
46150	-76.43	38.15	NA
46152	-76.43	38.15	NA
46801	-70.18	42.05	NA
46941	-68.45	44.47	NA
46942	-68.27	44.28	NA
46943	-68.27	44.28	NA
47866	-124.33	43.35	NA
47867	-124.17	43.68	NA
48566	-123.88	46.17	NA
48673	-123.12	48.17	NA
48674	-123.1	48.17	NA
48696	-64.35	49.82	NA
48902	-85.15	73.03	NA
48904	-85.15	73.03	NA
48986	-129.98	55.93	NA
49017	-123.1	48.17	NA
49018	-123.1	48.17	NA
49019	-123.1	48.17	NA
49020	-123.1	48.17	NA
49021	-123.1	48.17	NA
49022	-123.1	48.17	NA
49023	-123.1	48.17	NA
49049	-125.28	71.98	NA
49051	-125.28	71.98	NA
49095	-62.28	82.52	NA
49099	-68.55	70.45	NA
49100	-68.55	70.45	NA
49102	-75.28	68.93	NA
49107	-66.78	68.43	NA
49109	-66.78	68.43	NA
49114	-64.05	67.55	NA
49207	-123.42	48.13	NA
49208	-123.4	48.13	NA
49209	-123.4	48.13	NA
49211	-123	48.5	NA
49218	-122.53	47.92	NA
49394	-69.97	41.67	NA
49681	-88.92	30.42	NA
49682	-88.92	30.42	NA
49684	-88.92	30.42	NA
49685	-88.92	30.42	NA
49709	-86.68	30.42	NA
49711	-86.68	30.42	NA
49713	-86.68	30.42	NA
49715	-86.68	30.42	NA
49789	-80.68	28.58	NA
49800	-80.62	28.25	NA
49936	-51.18	63.43	NA
50067	125.72	11.03	NA
50132	132.08	-0.5	NA
50272	-118.32	29.17	NA
50273	-118.32	29.17	NA
50442	-110.42	24.17	NA
50543	-106.53	21.67	NA
50785	-110.95	18.72	NA
50786	-110.95	18.72	NA
50787	-110.95	18.72	NA
50825	-91.8	18.65	NA
50829	-91.8	18.65	NA
50830	-91.8	18.65	NA
50835	-88.3	18.48	NA
50842	-88.3	18.48	NA
50846	-101.47	17.59	NA
50874	-99.77	16.75	NA
50876	-99.77	16.75	NA
50883	-99.77	16.75	NA
50933	-96.5	15.65	NA
50999	-75.42	24.28	NA
51001	-75.42	24.27	NA
51033	-73.68	20.93	NA
51034	-73.68	20.95	NA
51035	-73.68	20.95	NA
51068	-75.62	21.07	NA
51077	-84.95	21.87	NA
51133	-81.05	22.07	NA
51221	-75.62	21.07	NA
51222	-75.62	21.07	NA
51259	-81.35	19.27	NA
51306	-68.33	18.62	NA
51322	-69.88	18.47	NA
51324	-69.88	18.47	NA
51325	-69.88	18.47	NA
51343	-66	18.45	NA
51346	-66	18.45	NA
51383	-88.6	15.72	NA
51385	-88.6	15.72	NA
51479	-83.36	14.04	NA
51520	-84.85	9.98	NA
51547	-79.9	9.37	NA
51587	-62.68	17.3	NA
51588	-62.67	17.29	NA
51664	-61.6	12.15	NA
51858	-77.9	2.58	NA
51907	-71.6	10.65	NA
52150	-48.55	-0.72	NA
52151	-47.35	-0.62	NA
52152	-47.38	-0.62	NA
52153	-47.38	-0.61	NA
52154	-47.38	-0.61	NA
52359	-35.48	-5.17	NA
52453	-34.88	-7.1	NA
52502	-34.88	-8.07	NA
52504	-34.92	-8.04	NA
53410	-79.65	0.98	NA
53461	-80.42	-0.58	NA
53735	-76.23	-13.75	NA
54255	-73.78	-41.88	NA
54256	-73.8	-41.87	NA
54263	-73.8	-42.48	NA
54273	-73.63	-43.12	NA
54275	-73.63	-43.12	NA
54288	-74.83	-43.57	NA
54291	-74.83	-43.57	NA
54292	-74.83	-43.57	NA
54372	-70.88	-53.1	NA
54376	-67.47	-54.92	NA
54396	-58.93	-62.2	NA
54398	-58.93	-62.25	NA
54399	-59.67	-62.48	NA
54406	-62.85	-64.8	NA
55297	-56.68	-36.55	NA
55314	-57.53	-38.02	NA
55538	-68.3	-54.8	NA
55543	-68.31	-54.8	NA
55546	-68.31	-54.8	NA
55547	-68.31	-54.8	NA
55548	-68.31	-54.8	NA
55549	-68.31	-54.8	NA
55550	-68.31	-54.8	NA
55555	-59.6	-51.32	NA
55557	-59.59	-51.32	NA
55570	-57.85	-51.68	NA
55573	-57.77	-51.68	NA
55574	-57.87	-51.68	NA
55582	-36.48	-54.27	NA
55583	-36.5	-54.28	NA
55584	-36.5	-54.28	NA
55591	-56.97	-63.38	NA
55594	-63.5	-64.82	NA
55602	-67	-68.17	NA
55617	-44.71	-60.75	NA
55673	-58.93	-62.2	NA
55674	-58.92	-62.19	NA
55682	-58.65	-62.23	NA
55683	-58.65	-62.23	NA
55687	-58.82	-62.17	NA
55688	-58.83	-62.18	NA
55689	-58.85	-62.18	NA
55696	-59.67	-62.48	NA
55704	-60.95	-64.15	NA
55705	-60.94	-64.14	NA
55742	-58.75	-62.21	NA
55744	-55.4	-63.18	NA
55752	-59.58	-83.17	NA
55768	-60.33	-72.22	NA
55769	-60.32	-72.22	NA
55816	11.83	-70.77	NA
55817	11.83	-70.77	NA
55818	11.75	-70.77	NA
55819	11.75	-70.77	NA
55838	77.98	-68.58	NA
55839	77.98	-68.58	NA
55840	77.95	-68.57	NA
55841	77.94	-68.56	NA
55842	77.95	-68.58	NA
55843	77.97	-68.58	NA
55844	77.97	-68.57	NA
55891	140.02	-66.67	NA
55892	140.02	-66.67	NA
55893	140.01	-66.66	NA
55919	162.97	-76.72	NA
55920	162.96	-76.72	NA
55921	162.97	-76.72	NA
55922	162.96	-76.72	NA
55934	170.32	-72.32	NA
55935	170.22	-72.32	NA
55972	107.77	-66.55	NA
55983	111.08	-66.02	NA
55999	146.18	-67.61	NA
56000	146.18	-67.62	NA
56004	163.1	-74.88	NA
56006	163.6	-74.92	NA
56007	163.68	-74.94	NA
56008	163.68	-74.95	NA
56009	163.69	-74.95	NA
56045	-177.37	28.22	NA
56046	-177.37	28.22	NA
56047	-177.37	28.22	NA
56048	-177.37	28.2	NA
56049	-177.37	28.22	NA
56050	-177.37	28.22	NA
56069	-159.33	21.98	NA
56070	-159.33	21.98	NA
56124	-156.7	20.93	NA
56238	-155.07	19.73	NA
56239	-155.07	19.73	NA
56241	-154.82	19.52	NA
56242	-154.81	19.51	NA
56301	167.73	8.73	NA
56304	167.73	8.73	NA
56305	167.73	8.73	NA
56328	134.48	7.33	NA
56329	134.48	7.33	NA
56330	134.48	7.33	NA
56360	157.27	-8.33	NA
56361	157.27	-8.33	NA
56363	157.27	-8.33	NA
56365	160.68	-8.7	NA
56406	167.22	-15.52	NA
56407	167.22	-15.52	NA
56408	167.22	-15.52	NA
56410	167.8	-16.42	NA
56412	167.8	-16.42	NA
56413	167.8	-16.42	NA
56414	167.79	-16.42	NA
56431	169.77	-20.23	NA
56432	169.77	-20.23	NA
56495	179.22	-8.5	NA
56497	179.22	-8.52	NA
56498	179.22	-8.53	NA
56499	179.22	-8.52	NA
56546	178.43	-18.13	NA
56598	-170.7	-14.33	NA
56599	-170.7	-14.33	NA
56692	-149.62	-17.54	NA
56732	-130.1	-25.06	NA
56776	150.4	-5.47	NA
56777	150.4	-5.47	NA
56808	174.02	-35.12	NA
56809	174.02	-35.11	NA
56813	174.82	-37.02	NA
56814	174.81	-37.01	NA
56818	174.8	-37.02	NA
56819	174.8	-37.02	NA
56820	174.8	-37.02	NA
56914	174.27	-41.73	NA
56915	174.27	-41.73	NA
57103	130.87	-12.47	NA
57394	139.2	-16.7	NA
57459	145.77	-16.92	NA
58151	153.36	-29.43	NA
58336	134.22	-32.8	NA
58343	134.88	-33.65	NA
58344	134.87	-33.65	NA
58389	137.77	-32.53	NA
58390	137.77	-32.53	NA
58778	142.48	-38.38	NA
58807	143.5	-38.84	NA
59025	150.15	-35.9	NA
59052	147.79	-42.9	NA
59053	147.79	-42.9	NA
59059	145.33	-42.15	NA
59060	145.32	-42.15	NA
59086	147.02	-43.32	NA
59174	167.97	-29.07	NA
59332	147.37	-42.87	NA
59440	140.02	-66.67	NA
59667	151.27	-33.83	NA
59671	151.57	-33.27	NA
59673	151.57	-33.27	NA
59755	150.15	-35.9	NA
59793	148.27	-41.33	NA
59800	148.02	-42.67	NA
59969	116.89	-1.26	NA
60037	112.63	-5.85	NA
60052	105.67	-10.42	NA
60053	105.67	-10.42	NA
60054	105.73	-10.43	NA
60056	105.68	-10.43	NA
60057	105.68	-10.43	NA
60058	105.68	-10.43	NA
60059	105.68	-10.42	NA
60063	96.83	-12.18	NA
60064	96.83	-12.18	NA
60065	96.83	-12.18	NA
60067	96.83	-12.18	NA
60143	124.38	-9.2	NA
60146	124.37	-9.2	NA
60147	124.37	-9.2	NA
60190	138.72	-1.83	NA
60222	133.75	-3.66	NA
60236	131.3	-7.98	NA
60237	131.29	-7.98	NA
60244	121.47	19.27	NA
60246	121.47	19.27	NA
60269	121.63	18.36	NA
60283	120.32	16.05	NA
60357	122.02	14.1	NA
60368	121.98	14.13	NA
60378	124.23	13.58	NA
60379	124.23	13.58	NA
60381	124.23	13.58	NA
60407	123.62	12.37	NA
60408	123.62	12.37	NA
60409	123.62	12.37	NA
60410	123.61	12.37	NA
60411	123.63	12.37	NA
60431	125.73	11.03	NA
60456	123.85	9.67	NA
60459	123.85	9.67	NA
60474	124.87	10.13	NA
60481	125.5	9.79	NA
60483	123.35	8.6	NA
60484	123.35	8.6	NA
60580	-124.62	48.37	NA
60595	-124.32	43.35	NA
60611	-122.42	47.27	NA
60614	-80.03	26.62	NA
60615	-80.03	26.62	NA
60946	-71.33	41.72	NA
60949	-73.77	40.8	NA
60951	-71.97	41.05	NA
60955	-71.32	41.5	NA
60976	-75.68	37.6	NA
60977	-76.48	37.22	NA
60991	-82.62	27.75	NA
61001	-89.37	30.28	NA
61003	-93.87	29.73	NA
61004	-93.87	29.73	NA
61013	167.73	8.73	NA
61025	-77.83	34.2	NA
61035	-79.7	32.85	NA
61136	-88.42	30.35	NA
61146	-97.32	27.48	NA
61167	-154.25	56.9	NA
61169	-174.17	52.23	NA
61182	-65.63	18.33	NA
61189	-131.62	55.33	NA
61192	-67.17	18.45	NA
61196	-135.22	57.78	NA
61201	-65.47	18.09	NA
61209	-75.04	40.01	NA
61214	-76.48	38.98	NA
61335	-79.9	9.37	NA
61340	-61.62	10.68	NA
61500	-76.48	38.98	NA
61501	-76.47	38.98	NA
61502	-76.48	38.98	NA
61503	-76.47	38.98	NA
61509	-75.43	37.93	NA
61938	-155.07	19.73	NA
62272	-123.88	46.17	NA
62289	-132.95	56.82	NA
62290	-132.95	56.82	NA
62293	-135.33	57.05	NA
62302	-166.85	53.98	NA
62377	134.48	7.33	NA
62383	167.73	8.73	NA
62388	120.28	14.82	NA
62454	179.22	-8.53	NA
62545	-77.43	34.72	NA
62546	-77.43	34.72	NA
62549	-77.42	34.7	NA
62775	-70.25	43.65	NA
62891	-63.17	46.23	NA
62892	-63.17	46.23	NA
62893	-63.17	46.23	NA
62935	-52.67	47.57	NA
62955	-66.12	43.83	NA
62956	-66.12	43.83	NA
62957	-66.12	43.83	NA
62963	82.23	77.5	NA
63536	51.7	46.9	NA
63558	50	45	NA
63848	53.12	39.45	NA
63850	53.1	39.1	NA
63987	48.77	67.7	NA
64586	47.8	45.4	NA
64599	47.5	44.5	NA
64722	49.2	41.1	NA
64775	50.9	40.2	NA
64776	50.3	40.5	NA
64777	50.6	40.3	NA
64802	49.6	39.8	NA
64820	48.9	38.5	NA
64834	57.95	81.8	NA
65022	-2.13	49.2	NA
65023	-2.13	49.2	NA
65028	-2.99	53.4	NA
65032	-118.32	29.17	NA
65037	-111.87	24.52	NA
65049	18.3	80.05	NA
65088	9.05	39.25	NA
65130	-6.32	58.22	NA
65174	50.62	26.27	NA
65175	45.02	12.83	NA
65198	92.72	11.67	NA
65199	92.72	11.67	NA
65209	120.43	22.47	NA
65283	-6.75	62.05	NA
65318	-170.22	57.15	NA
65329	-68.55	70.45	NA
