id	longitude	latitude	country
1082	25.06	76.5	NA
1089	26.23	71.07	NA
1092	25.98	71.02	NA
1097	28.2	70.4	NA
1098	28.2	70.4	NA
1099	28.2	70.39	NA
1101	28.17	70.22	NA
1102	28.23	71.08	NA
1103	28.23	71.08	NA
1104	28.22	71.1	NA
1105	28.23	71.1	NA
1113	30.38	70.12	NA
1114	29.85	70.07	NA
1115	29.84	70.06	NA
1116	29.83	70.05	NA
1125	31.05	70.35	NA
1126	31.04	70.35	NA
1127	31.1	70.37	NA
1128	31.1	70.37	NA
1129	31.1	70.37	NA
1130	31.1	70.37	NA
1131	31.09	70.36	NA
1132	31.05	70.35	NA
1133	31.09	70.36	NA
1135	11	65.2	NA
1136	11	65.2	NA
1137	11	65.2	NA
1138	11	65.19	NA
1139	7.32	65.33	NA
1142	11.88	67.42	NA
1143	11.88	67.42	NA
1144	12.07	67.5	NA
1145	-12.07	67.52	NA
1146	12.07	67.52	NA
1147	12.07	67.52	NA
1148	12.08	67.5	NA
1149	12.08	67.5	NA
1150	12.1	67.52	NA
1151	12.1	67.52	NA
1152	11.85	65.7	NA
1154	11.85	65.7	NA
1156	12.18	65.87	NA
1157	11.68	66	NA
1158	11.67	66	NA
1159	12.22	65.47	NA
1160	12.22	65.47	NA
1163	12.22	65.47	NA
1164	12.22	65.45	NA
1169	12.48	66.77	NA
1170	12.48	66.77	NA
1171	12.48	66.77	NA
1172	12.48	66.77	NA
1175	12.43	65.83	NA
1176	12.65	66.37	NA
1177	12.65	66.37	NA
1178	12.65	66.4	NA
1179	12.62	66.4	NA
1180	12.62	66.39	NA
1181	12.62	66.37	NA
1187	13.05	67.88	NA
1188	13.05	67.88	NA
1189	13.05	67.88	NA
1194	13.45	66.93	NA
1195	13.5	67.3	NA
1196	12.68	67.68	NA
1197	12.72	67.65	NA
1198	12.72	67.65	NA
1201	13.97	68.35	NA
1202	13.9	67.4	NA
1207	13.98	66.27	NA
1208	13.98	66.27	NA
1209	14.1	66.33	NA
1214	14.4	67.28	NA
1216	14.37	67.27	NA
1217	14.37	67.27	NA
1218	14.37	67.27	NA
